SYMBOL,NAMEOFCOMPANY,SERIES
20MICRONS,20 Microns,EQ
21STCENMGM,21st Century Management Services,BE
3IINFOTECH,3i Infotech,EQ
3MINDIA,3M India,EQ
5PAISA,5Paisa Capital,EQ
63MOONS,63 moons technologies,EQ
8KMILES,8K Miles Software Services,EQ
A2ZINFRA,A2Z Infra Engineering,EQ
AARTIDRUGS,Aarti Drugs,EQ
AARTIIND,Aarti Industries,EQ
AARVEEDEN,Aarvee Denims & Exports,EQ
ABAN,Aban Offshore,EQ
ABB,ABB India,EQ
ABBOTINDIA,Abbott India,EQ
ABCAPITAL,Aditya Birla Capital,EQ
ABFRL,Aditya Birla Fashion and Retail,EQ
ABGSHIP,ABG Shipyard,BZ
ABMINT,ABM International,BE
ACC,ACC,EQ
ACCELYA,Accelya Kale Solutions,EQ
ACE,Action Construction Equipment,EQ
ADANIENT,Adani Enterprises,EQ
ADANIPORTS,Adani Ports and Special Economic Zone,EQ
ADANIPOWER,Adani Power,EQ
ADANITRANS,Adani Transmission,EQ
ADFFOODS,ADF Foods,EQ
ADHUNIK,Adhunik Metaliks,BE
ADHUNIKIND,Adhunik Industries,BE
ADLABS,Adlabs Entertainment,BE
ADORWELD,Ador Welding,EQ
ADSL,Allied Digital Services,BE
ADVANIHOTR,Advani Hotels & Resorts (India),EQ
ADVENZYMES,Advanced Enzyme Technologies,EQ
AEGISCHEM,Aegis Logistics,EQ
AFL,Accel Frontline,EQ
AGARIND,Agarwal Industrial Corporation,BE
AGCNET,AGC Networks,BE
AGLSL,Artemis Global Life Sciences,EQ
AGRITECH,Agri-Tech (India),EQ
AHLEAST,Asian Hotels (East),EQ
AHLUCONT,Ahluwalia Contracts (India),EQ
AHLWEST,Asian Hotels (West),BE
AIAENG,AIA Engineering,EQ
AICHAMP,AI Champdany Industries,BE
AIFL,Ashapura Intimates Fashion,EQ
AJANTPHARM,Ajanta Pharma,EQ
AJMERA,Ajmera Realty & Infra India,EQ
AKSHARCHEM,AksharChem India,EQ
AKSHOPTFBR,Aksh Optifibre,BE
AKZOINDIA,Akzo Nobel India,EQ
ALANKIT,Alankit,EQ
ALBERTDAVD,Albert David,BE
ALBK,Allahabad Ban,EQ
ALCHEM,Alchemist,BE
ALEMBIC,Alembic,EQ
ALICON,Alicon Castalloy,EQ
ALKALI,Alkali Metals,EQ
ALKEM,Alkem Laboratories,EQ
ALKYLAMINE,Alkyl Amines Chemicals,EQ
ALLCARGO,Allcargo Logistics,EQ
ALLSEC,Allsec Technologies,EQ
ALMONDZ,Almondz Global Securities,BE
ALOKTEXT,Alok Industries,BE
ALPA,Alpa Laboratories,EQ
ALPHAGEO,Alphageo (India),EQ
ALPSINDUS,Alps Industries,BE
AMARAJABAT,Amara Raja Batteries,EQ
AMBER,Amber Enterprises India,EQ
AMBIKCO,Ambika Cotton Mills,EQ
AMBUJACEM,Ambuja Cements,EQ
AMDIND,AMD Industries,EQ
AMJLAND,Amj Land Holdings,EQ
AMRUTANJAN,Amrutanjan Health Care,EQ
AMTEKAUTO,Amtek Auto,BE
ANANTRAJ,Anant Raj,EQ
ANDHRABANK,Andhra Ban,EQ
ANDHRACEMT,Andhra Cements,EQ
ANDHRSUGAR,The Andhra Sugars,EQ
ANGIND,ANG Industries,BE
ANIKINDS,Anik Industries,EQ
ANSALAPI,Ansal Properties & Infrastructure,EQ
ANSALHSG,Ansal Housing and Construction,EQ
ANTGRAPHIC,Antarctica,BE
APARINDS,Apar Industries,EQ
APCL,Anjani Portland Cement,EQ
APCOTEXIND,Apcotex Industries,EQ
