Unnamed,Source,Category,Date,Author,Title,Tags,Subtitle,Content
0,Rueters,['Business News'],02-05-2018 08:21,Reuters Staff,Boeing may express interest in Canada fighter jet bid: executive,[],"['SINGAPORE (Reuters) - Boeing may express interest in a jet fighter competition in Canada despite a recent trade row, but is still studying the matter, a senior executive said on Monday.']","['SINGAPORE (Reuters) - Boeing may express interest in a jet fighter competition in Canada despite a recent trade row, but is still studying the matter, a senior executive said on Monday.', 'Boeing has until Feb. 9 to express interest in taking part in the bidding for 88 jets worth between C$15 billion and C$19 billion ($12.1 billion to $15.3 billion).', 'Asked ahead of the Singapore Airshow whether the U.S. plane maker would express interest by Friday, Gene Cunningham, vice president for sales at Boeing Defence and Space, told reporters: ?That is certainly a possibility and we will let you know as that unfolds?.', 'Boeing?s relationship with Canada has soured since it complained that Canadian planemaker Bombardier was dumping airliners on the American market. A U.S. trade commission dismissed Boeing?s complaint on Jan. 26.', 'Cunningham also said Boeing was in discussions across Asia for possible future defense sales, including attack helicopters in Philippines and Thailand.', 'Boeing has also had preliminary conversations with Vietnam, following the lifting of a U.S. arms embargo in 2016.', '?We have been to Vietnam several times to have conversations, but we are still in a formulative phase,? Cunningham said, adding that Boeing would strictly follow specific export controls that apply to all military products.', 'Reporting by Tim Hepher; Editing by Edwina Gibbs']"
0,Rueters,['Business News'],02-05-2018 08:31,Reuters Staff,Tesco raises profit forecast and names Booker's Wilson its UK boss,[],"['LONDON (Reuters) - Tesco, Britain?s biggest retailer, on Monday forecast profit for the full 2017-18 year slightly ahead of analysts? expectations and confirmed it would pay a final dividend.']","['LONDON (Reuters) - Tesco, Britain?s biggest retailer, on Monday forecast profit for the full 2017-18 year slightly ahead of analysts? expectations and confirmed it would pay a final dividend.', 'Ahead of the publication of the circular and prospectus for its 3.7 billion pounds ($5.22 billion) takeover of wholesaler Booker, Tesco said it had traded in line with management expectations since it last updated on Jan. 11.', 'Tesco is buying Booker in the boldest move yet by its Chief Executive Dave Lewis, who took over in 2014, providing the supermarket group with access to the faster growing catering segment of Britain?s 195 billion pound food market.', 'After the deal, the well-regarded Booker boss Charles Wilson will become CEO of Tesco?s retail and wholesale operations in the UK and Ireland.', 'The current UK boss, Matt Davies, will step down after supporting a handover and leave Tesco at the end of April.', '?(Wilson) brings substantial commercial and retail experience and has an exceptional track record of increasing performance and driving growth in customer-focused businesses,? Lewis said.', 'Tesco shareholders will vote on the deal at a meeting on Feb. 28 and completion is expected to take place on March 5.', 'The supermarket group forecast an operating profit before exceptional items of at least 1.575 billion pounds for the year to Feb. 24 2018.', 'That compares to analysts? current average forecast of 1.564 billion pounds, according to Tesco?s website, and 1.28 billion pounds made in 2016-17.', 'Tesco said it intended to pay a final dividend of 2.0 pence per share for the year, having announced an interim dividend of 1 pence in October.', 'The interim payment was its first since the 2014-15 year when it was mired in crisis.', 'Tesco shares were down 1.1 percent at 0805 GMT.', '($1 = 0.7089 pounds)', 'Reporting by James Davey; editing by Kate Holton']"
0,Rueters,['Business News'],02-05-2018 08:35,Rajendra Jadhav,January gold imports plunge to 17-month low on subdued demand - GFMS,[],"['MUMBAI (Reuters) - India?s gold imports in January dropped to their lowest in 17 months as prices rebounded and buyers postponed purchases in expectation of cuts in the import tax, provisional data from precious metals consultancy GFMS and bank dealers showed.']","['MUMBAI (Reuters) - India?s gold imports in January dropped to their lowest in 17 months as prices rebounded and buyers postponed purchases in expectation of cuts in the import tax, provisional data from precious metals consultancy GFMS and bank dealers showed.', 'The drop in purchases by India, the world?s second-biggest consumer of gold after China, could weigh on global prices, which have risen over 7 percent in eight weeks.', 'Lower gold imports could help the South Asian country to reduce its trade deficit that surged to the highest in more than three years in December.', 'The country?s imports were 30 tonnes in January, down 37 percent from 47.9 tonnes a year ago, Sudheesh Nambiath, a senior analyst with GFMS, a division of Thomson Reuters, said on Monday.', '?Last month the industry was expecting the duty cut in the budget. People were not willing to build inventory,? Nambiath said.', 'The expectation of the duty cut in January prompted traders to offer the highest discount in four months over official domestic prices.', 'However, Finance Minister Arun Jaitley kept the import tax unchanged in the annual budget presented on Feb. 1.', 'The rebound in overseas prices also kept buyers on the sidelines, said a Mumbai-based dealer with a private bank.', '?Jewellers were not comfortable with the spike in prices. They were expecting a correction,? he said.', 'After falling to the lowest level in five months in December, gold prices surged to the highest level in 17 months in January.', 'Indian banks aggressively imported gold in December taking advantage of lower prices and a lot of the unsold bullion was available to fulfil January demand, said a Chennai-based bullion dealer.', 'The country?s overseas gold purchases in December stood at 80.4 tonnes, up 61 percent from a year ago, GFMS data showed.', 'India?s gold imports surged 69 percent in 2017 from the previous year to 863.2 tonnes.', 'In February, imports could rise above 50 tonnes as jewellers have been replenishing inventory, the private bank dealer said.', 'Reporting by Rajendra Jadhav; Editing by Christian Schmollinger']"
0,Rueters,['Business News'],02-05-2018 08:40,Conor Humphries,Ryanair says to face down 'laughable' pilot demands as profits rise,[],['DUBLIN (Reuters) - Ryanair on Monday warned it would face down what it said were ?laughable demands? by pilots for conditions typical of high-cost rivals even if that meant strike disruption as Europe?s largest budget carrier reported an increase in profits.'],"['DUBLIN (Reuters) - Ryanair on Monday warned it would face down what it said were ?laughable demands? by pilots for conditions typical of high-cost rivals even if that meant strike disruption as Europe?s largest budget carrier reported an increase in profits.', 'The Irish airline also warned that its competitors were being overly optimistic in their expectations for fare rises on European short-haul routes next summer and urged analysts to maintain ?extreme caution? on fare forecasts.', 'Profits at the Irish airline increased by 12 percent in the three months to the end of December on an annual basis despite a turbulent period in which it had to deal with mass cancellations and the threat of strike action by pilots.', 'It said it would return 750 million euros ($933.4 million) to shareholders via a share buyback.', 'Ryanair averted the threat of widespread Christmas strikes by unilaterally recognising unions for the first time in its 32-year history, but it has struggled to formalise relations with unions since then and said it expected further threats during Easter.', 'Buoyed by strong financial results and formal agreement on recognition with its British pilots, Chief Executive Michael O?Leary said it was preparing to face down other pilot unions even if that meant localised disruption.', '?We have some jurisdictions where we are getting ... laughable demands for legacy-type inefficiencies,? O?Leary said referring to the pay and working conditions typical of the higher cost carriers Ryanair has undermined in recent decades with its ultra-low-cost model.', 'Pilots say they only want the same conditions to those at low-cost rivals such as easyJet and Norwegian Air Shuttle, and some say they will refuse the pay rise unless they get assurances it won?t impact future pay talks.', 'Some pilots have complained of a toxic working atmosphere at the airline and a lack of trust between staff and management.', '?Frankly we will never agree to those ... if we have to take strikes or disruptions in those jurisdictions, then we will take those,? he said in a pre-recorded presentation to investors.', 'Profit after tax for the quarter was 106 million euros, up 12 percent from a year ago and slightly ahead of a consensus forecast of 101 million euros in a Ryanair poll of analysts. Revenues for optional extras such as pre-booked seats and extra bags beat expectations, while the airline increased its passenger forecast for the year to end-March to 130 million from 129 million.', 'Ryanair reiterated it expected to make a profit after tax of between 1.4 billion and 1.45 billion euros in its financial year, which ends on March 31, 2018, a forecast that remains unchanged since a wave of cancellations announced in September sparked the recent turmoil.', '($1 = 0.8035 euros)', 'Reporting by Conor Humphries; Editing by Himani Sarkar and Louise Heavens']"
0,Rueters,['Business News'],02-05-2018 08:45,Yuka Obayashi,Trader Mitsubishi Corp raises profit outlook on higher coal prices,[],"['TOKYO (Reuters) - Japanese trading house Mitsubishi Corp on Monday lifted its full-year profit forecast to a record high for the second time since November, citing stronger coking coal prices.']","['TOKYO (Reuters) - Japanese trading house Mitsubishi Corp on Monday lifted its full-year profit forecast to a record high for the second time since November, citing stronger coking coal prices.', 'The higher-than-expected coal prices also raised Mitsubishi?s recurring profit for the nine months through Dec. 31 by 12 percent to a record 416 billion yen ($3.78 billion), mirroring similar record high earnings from trading house peers Mitsui & Co Ltd and Itochu Corp.', 'In November, Mitsubishi lifted its profit forecast for the year to March 31 to 500 billion yen from 450 billion yen, which would be its highest annual profit in a decade.', 'On Monday, it further lifted the forecast to 540 billion yen, beating a mean estimate of 522 billion yen from nine analysts surveyed by Thomson Reuters I/B/E/S. Mitsubishi also increased its annual dividend outlook from 95 yen per share to 100 yen per share.', 'Mitsubishi?s Chief Financial Officer Kazuyuki Masu told reporters the price rally in coking coal was partially due to stronger-than-expected demand from China for high-quality coal.', 'Australian premium coking coal futures in Singapore have surged over 50 percent from a November low of $174 to $265 a tonne by early January. They have since come off to around $225 a tonne.', '?But the rally has been overdone. We expect the coking coal prices to head slightly lower through the end of March,? Masu added.', 'Mitsubishi also expects its metals unit, which includes copper and iron ore assets, to generate 240 billion yen for the year, nearly half of the total profit.', '?As we enter into an era of electric vehicles, we are considering to invest in copper,? Masu added, citing a possible purchase of an additional stake in copper mines in which it already holds a stake such as the Quellaveco project in Peru.', 'Mitsubishi owns 18 percent stake in Quellaveco copper project which is 82 percent held by Anglo American. Anglo American has said that it could expand copper capacity in Peru this year.', '($1 = 109.9600 yen)', 'Reporting by Yuka ObayashiEditing by Joseph Radford and Miral Fahmy']"
0,Rueters,['Business News'],02-05-2018 09:08,Jonathan Cable,Euro zone businesses start 2018 in best shape for over a decade: PMI,[],"['LONDON, Feb 5 (Reuters) - Euro zone businesses started 2018 by increasing activity faster than at any time in well over a decade as new orders surged despite firms raising prices at the steepest rate in almost seven years, a survey showed.']","['LONDON, Feb 5 (Reuters) - Euro zone businesses started 2018 by increasing activity faster than at any time in well over a decade as new orders surged despite firms raising prices at the steepest rate in almost seven years, a survey showed.', 'The euro zone emerged as one of the best-performing major economies last year, and forward-looking indicators in the survey suggest that momentum will continue for at least another few months, in welcome news for the European Central Bank as it moves to unwind policy.', 'IHS Markit?s Final Composite Purchasing Managers? Index, seen as a good overall growth indicator for the euro zone, rose to 58.8 in January from December?s 58.1 and up from the flash estimate of 58.6.', 'It is now at its highest since June 2006 and well above the 50 mark that separates growth from contraction.', '?The strong upturn is also broad-based, which adds to the potential for the growth to become more self-sustaining as demand rises across the single currency area,? said Chris Williamson, chief business economist at IHS Markit.', '?The survey data are therefore indicating that the euro zone has started 2018 with very good growth momentum, and that price pressures are building commensurately. If such impressive numbers continue to be seen in coming months, expect policymakers to sound increasingly hawkish.?', 'Although inflation is still nowhere near their target ceiling of 2 percent, ECB policymakers halved their monthly asset purchases from January and are expected to end the quantitative easing program completely by the end of the year.', 'So they will be heartened to see an index measuring prices charged leapt to 54.8 from December?s 53.2, it?s  highest since April 2011.', 'Williamson said the PMI data, if maintained, pointed to first quarter GDP growth of 1.0 percent, which would be the best since the second quarter of 2010 and much faster than the 0.6 percent predicted by a Reuters poll last month.', 'Growth is being supported by a booming service industry. Its PMI bounced to 58.0 from 56.6, surpassing the flash estimate of 57.6 and chalking up its highest reading since August 2007.', 'That growth was boosted by new business flooding in at the fastest rate in over a decade. The sub-index was 57.3, up from 56.7 the month before to a level also not seen since August 2007.', 'Editing by Hugh Lawson']"
0,Rueters,['Business News'],02-05-2018 09:20,Reuters Staff,Total to sell 25 percent stake in South African block to Qatar Petroleum,[],"['PARIS/DUBAI (Reuters) - Qatar Petroleum said on Monday it had signed an agreement with French oil and gas major Total to acquire a 25 percent stake in an exploration block, offshore South Africa, in a deal that would strengthen Total?s ties with the Qatari energy giant.']","['PARIS/DUBAI (Reuters) - Qatar Petroleum said on Monday it had signed an agreement with French oil and gas major Total to acquire a 25 percent stake in an exploration block, offshore South Africa, in a deal that would strengthen Total?s ties with the Qatari energy giant.', 'Following the sale, the new ownership structure for the block will see Total have 45 percent, Qatar Petroleum 25 percent, CNR International 20 percent and Main Street will own 10 percent, Total and QP said in statements.', '?This agreement is another step by Qatar Petroleum ... in expanding and reinforcing Qatar?s leading position in the field of energy across the globe,? QP?s Chief Executive Saad al-Kaabi said, adding that the drilling of an exploration well is planned this year.', 'The agreement comes at a sensitive time for Doha, which is in the midst of a protracted crisis with its Gulf neighbours.', 'OPEC kingpin Saudi Arabia and the United Arab Emirates cut ties with Doha in June, saying Qatar backed terrorism and was cosying up to rival Iran. Qatar rejected the accusations.', 'But despite the rift, U.S. and European oil majors are piling in with offers to help Qatar develop new gas projects, the country?s energy minister told Reuters last month.', 'Qatar seeks to expand its gas capacity to 100 million tonnes a year from the current 77 million to cement its position as the world?s largest exporter of liquefied natural gas (LNG).', 'Reuters reported last year that Qatar?s traditional partners Exxon Mobil, Royal Dutch Shell and Total, which helped turn the country into a gas superpower, had all shown interest in new projects.', 'Total is seen as a front-runner to pick up more LNG business in Qatar, and opening an opportunity for QP to join its global operations would strengthen the French major?s position.', 'Exploration Block 11B/12B is located in the Outeniqua Basin, around 175 km off the southern coast of South Africa, and covers an area of 19,000 square kilometres with water depths ranging from 200 to 1,800 metres.', 'Reporting by Sudip Kar-Gupta and Rania El Gamal; Editing by Dale Hudson']"
0,Rueters,['Business News'],02-05-2018 09:43,William Schomberg,UK economy suffers sharp slowdown at start of 2018: IHS Markit,[],"['LONDON (Reuters) - Britain?s economy slowed sharply in January, according to a survey which cast doubt on growing expectations among investors that the Bank of England might be gearing up to raise interest rates again in the coming months.']","['LONDON (Reuters) - Britain?s economy slowed sharply in January, according to a survey which cast doubt on growing expectations among investors that the Bank of England might be gearing up to raise interest rates again in the coming months.', 'The IHS Markit/CIPS Purchasing Managers? Index (PMI) for the country?s dominant services sector slowed to a 16-month low of 53.0 from 54.2 in December.', 'The reading was at the bottom end of a range of forecasts in a Reuters poll of economists and looked likely to widen the gap between Britain?s slow-growing economy as it heads for Brexit and other countries gaining from a bounce-back in global growth.', 'Combined with last week?s weaker-than-expected surveys for the manufacturing and construction sectors, Monday?s report suggested the world?s sixth-biggest economy grew last month at its slowest pace since shortly after the Brexit vote in 2016.', 'Companies reported the non-renewal of finished contracts, unfavorable weather and the loss of existing clients as well as uncertainty about the outcome of the Brexit negotiations that face Prime Minister Theresa May this year.', 'Although new work came in faster than in December, it was below the average for 2017.', '?The January slowdown pushes the all-sector PMI into dovish territory as far as Bank of England monetary policy is concerned,? Chris Williamson, chief business economist at IHS Markit, said.', '?With the survey also indicating weaker upward price pressures, the data therefore cast doubts on any imminent rise in interest rates.?', 'The BoE is due to announce new economic forecasts on Thursday and investors are watching for any signs that it is moving towards a rate hike in the coming months, after it increased borrowing costs for the first time in a decade in November.', 'Britain?s economy grew faster than expected at the end of 2017, and financial markets have put a 50-50 chance on a BoE rate hike in May.', 'But the PMI surveys for January suggested the economy was set to grow by a quarterly pace of just under 0.3 percent in the first three months of 2018, down sharply from the PMI?s signals of 0.4 to 0.5 percent in the fourth quarter.', 'Official data has shown Britain?s economy grew by 0.5 percent from October to December, its fastest pace of 2017.', 'Monday?s survey showed job creation picked up as services firms remain positive about the outlook. Business confidence was the highest since March 2017.', 'Inflation in the prices charged by firms eased to a four-month low but remained high. Input prices rose at their slowest pace since September 2016.', 'Reporting by William Schomberg; Editing by Hugh Lawson']"
0,Rueters,['Business News'],02-05-2018 10:20,Reuters Staff,Tata Motors quarterly profit surges on Jaguar Land Rover sales,[],"['(Reuters) - Tata Motors Ltd reported on Monday a surge in quarterly profit, driven by higher sales at its Jaguar Land Rover (JLR) business after an exceptionally weak quarter a year earlier.']","['(Reuters) - Tata Motors Ltd reported on Monday a surge in quarterly profit, driven by higher sales at its Jaguar Land Rover (JLR) business after an exceptionally weak quarter a year earlier.', 'Net profit for the quarter ended Dec. 31 came in at 11.99 billion rupees ($187.15 million) compared with 937.7 million rupees in the same quarter a year ago.', 'That fell way short of the average estimate of 23.95 billion rupees drawn from 20 analysts polled by Thomson Reuters I/B/E/S.', ""Growth in China was offset by flatter demand in the UK, the United States and mainland Europe due to uncertainty over the regulation of diesel and concerns over Britain's departure from the European Union, the company said in a statement. (bit.ly/2nIM92Z)"", 'Tata Motors saw profit in the year-ago quarter hit by lower wholesale volumes and higher marketing expenses at its Jaguar Land Rover unit as well as wider losses at its domestic business.', 'In the latest quarter, retail sales of its sleek Jaguar saloons and Land Rover sport utility vehicles rose 3.5 percent, while the EBITDA margin (earnings before interest, tax, depreciation and amortisation) rose 80 basis points, driven by higher volumes of its Velar and Discovery models.', 'But last month JLR said it would temporarily reduce production at its northern English car plant in Halewood in response to weakening demand due to Brexit and tax hikes on diesel cars.', 'Separately, the carmaker and Warbug Pincus called off a deal in which Tata Motors was to sell a 43 percent stake in Tata Technologies to the private equity firm.bit.ly/2nHCESH', '($1 = 64.0650 Indian rupees)', 'Reporting by Arnab Paul in Bengaluru Editing by Edwina Gibbs and Louise Heavens']"
0,Rueters,['Business News'],02-05-2018 10:20,Reuters Staff,Tata Motors third-quarter profit rises about 13-fold on higher Jaguar Land Rover sales,[],"['(Reuters) - Tata Motors Ltd reported about a 13-fold rise in quarterly profit on Monday, driven by higher sales from its Jaguar Land Rover (JLR) business after a particularly weak quarter a year earlier.']","['(Reuters) - Tata Motors Ltd reported about a 13-fold rise in quarterly profit on Monday, driven by higher sales from its Jaguar Land Rover (JLR) business after a particularly weak quarter a year earlier.', 'Net profit for the quarter ended Dec. 31 came in at 11.99 billion rupees ($187.15 million) versus 937.7 million rupees in the same quarter a year earlier. (bit.ly/2nIM92Z)', 'That fell way short of the average estimate of 23.95 billion rupees drawn from 20 analysts polled by Thomson Reuters I/B/E/S.', 'Total JLR retail sales rose 3.5 percent for the quarter.', '($1 = 64.0650 Indian rupees)', 'Reporting by Arnab Paul in Bengaluru Editing by Edwina Gibbs']"
