,Company,Source,Category,Date,Author,Title,Tags,Subtitle,Content
142,AUROBINDO PHARMA,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-01-02 14:28:00,['ET Now'],['Buy Aurobindo Pharma with a target price of Rs 210 : CK Narayan'],['Aurobindo Pharma'],[],"['In a chat withET Now, CK Narayan, Growth Avenues Asset Advisors, shares his views onAurobindo PharmaET Now: What is your view on Aurobindo Pharma?CK Narayan: Aurobindo Pharma is a buy with a target price of Rs 210 and a stop loss of Rs 192.']"
2822,AUROBINDO PHARMA,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-01-14 11:07:00,['ET Now'],['Buy Aurobindo Pharma with a target of 202: Ashwani Gujral'],"['et now', 'Aurobindo Pharma', 'Ashwani Gujral']",[],"['In a chat withET Now,Ashwani Gujral, Fund Manager, Ashwanigujral.com, shares his views onAurobindo Pharma.What is your call on Aurobindo Pharma?Aurobindo Pharma is a buy with a stop of about 185, target of 202.']"
3655,AUROBINDO PHARMA,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-01-17 09:14:00,['ET Now'],['Sell Aurobindo Pharma with a target of Rs 172: Mitesh Thacker'],"['Aurobindo Pharma', 'Aurobindo Pharma Ltd', 'et now', 'Technical Analyst', 'Mitesh Thacker', 'miteshthacker.com', 'Aurobindo Pharma Limited']",[],"[""In a chat withET Now,Mitesh Thacker,Technical Analyst,miteshthacker.com, shares his views onAurobindo Pharma Limited.ET Now: What is your call onAurobindo Pharma?Mitesh Thacker:Aurobindo Pharma Ltdis a 'sell' call with a target of Rs 172 and a stop loss of Rs 190.25.""]"
3963,AUROBINDO PHARMA,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-01-18 09:12:00,['ET Now'],['Sell Aurobindo Pharma with a stop loss of Rs 185: Mitesh Thacker'],"['Aurobindo Pharma Ltd', 'et now', 'Aurobindo Pharma', 'Technical Analyst', 'Mitesh Thacker', 'miteshthacker.com']",[],"[""In a chat withET Now,Mitesh Thacker,Technical Analyst,miteshthacker.com, shares his views onAurobindo PharmaLimited.ET Now: What is your call on Aurobindo Pharma?Mitesh Thacker:Aurobindo Pharma Ltdis a 'sell' call with a target of Rs 172 and a stop loss of Rs 185.""]"
4527,AUROBINDO PHARMA,econominc-times,"['Industry', 'Healthcare/Biotech', 'Pharmaceuticals']",2013-01-21 13:52:00,['PTI'],['Aurobindo Pharma gets USFDA nod for anti-bacterial injections'],"['BSE', 'Aurobindo Pharma', 'US Food & Drug Administration', 'injection', 'Oxacillin']",['Aurobindo Pharma receives final approvals from US health regulator to manufacture and market Oxacillin for Injection.'],"['NEW DELHI: Drug firmAurobindo Pharmatoday said it has received final approvals from the US health regulator to manufacture and marketOxacillinforInjectionused for treating bacterial infections in the American market.The company has received final approvals from the US Food & Drug Administration (USFDA) to manufacture and market Oxacillin for Injection USP, packaged in 1g and 2g vials and Oxacillin for Injection USP 10g/vial pharmacy bulk package, Aurobindo Pharma said in a statement.The products are ready for launch, it added. These abbreviated new drug applications (ANDAs) have been approved out of the company\'s facility in Hyderabad and will be marketed and sold by its US subsidiary AuroMedics Pharma LLC, Aurobindo Pharma said.""Oxacillin for Injection USP is a sterile semi-synthetic penicillin (SSP) indicated in the treatment of infections caused by penicillinase producing staphylococci which have demonstrated susceptibility to the drug,"" it added.Aurobindo now has a total of 174 ANDA approvals, the company said.Shares of Aurobindo Pharma were today trading at Rs 195.55 apiece in the afternoon trade onBSE, up 1.53 per cent from their previous close.']"
5089,AUROBINDO PHARMA,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-01-23 15:17:00,['ET Now'],['Sell Aurobindo Pharma with a target of Rs 175: Mitesh Thacker'],['Aurobindo Pharma'],[],"[""In a chat with ET Now, Mitesh Thacker of miteshthacker.com, shares his views onAurobindo Pharma.ET Now: What are your stock recommendations?Mitesh Thacker: Aurobindo Pharma is a 'SELL' call with a target of Rs 175 and a stop loss of Rs 190.50.""]"
5601,AUROBINDO PHARMA,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-01-25 13:07:00,['ET Now'],['Sell Aurobindo Pharma Ltd with a target of Rs 171: Sandeep Wagle'],"['Aurobindo Pharma', 'et now', 'Sandeep Wagle', 'Aurobindo Pharma Ltd', 'APTART Technical Advisory Services', 'www.aptartindia.com']",[],"['In a chat withET Now,Sandeep Wagle, Founder & MD,APTART Technical Advisory Services,www.aptartindia.com, shares his views onAurobindo Pharma Ltd.ET Now: What is your view on onAurobindo PharmaLtd?Sandeep Wagle:I have a sell in Aurobindo Pharma, stop loss Rs 183.50, target Rs 171.']"
5654,AUROBINDO PHARMA,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-01-25 16:48:00,['ET Now'],['Sell Aurobindo Pharma Ltd with a target price of Rs 175: Sandeep Wagle'],"['Titan Industries', 'Aurobindo Pharma', 'Aurobindo Pharma Ltd', 'et now', 'Sandeep Wagle', 'APTART Technical Advisory Services', 'Titan Industries Ltd']",[],"['In a chat withET Now,Sandeep Wagle, Founder & MD,APTART Technical Advisory Services,www.aptartindia.com, shares his views onAurobindo Pharma.ET Now: What is your call onAurobindo Pharma Ltd?Sandeep Wagle:Sell Aurobindo Pharma, stop loss Rs 186, target Rs 175.']"
6589,AUROBINDO PHARMA,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-01-30 10:27:00,['ET Now'],['Sell Aurobindo Pharma Ltd with a target of Rs 170: Mitesh Thacker'],"['Aurobindo', 'et now', 'Aurobindo Pharma Ltd', 'Mitesh Thacker of miteshthacker.com']",[],"[""In a chat withET Now,Mitesh        Thackerof miteshthacker.com, shares his views onAurobindo        PharmaLtd.ET Now: What is your call onAurobindo Pharma Ltd?Mitesh Thacker:Aurobindo Pharma Ltd is a 'sell' call with a target of Rs 170 and a stop loss of Rs 189.""]"
7775,AUROBINDO PHARMA,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-02-04 12:00:00,['ET Now'],['Buy Aurobindo Pharma Ltd with target price of Rs 198: Prakash Gaba'],"['Aurobindo Pharma', 'et now', 'Aurobindo Pharma Ltd', 'prakash gaba', 'prakashgaba.com']",[],"['In a chat withET Now,Prakash Gaba, CFT,prakashgaba.com, shares his views onAurobindo Pharma Ltd.What is your call onAurobindo PharmaLtd?Buy Aurobindo Pharma with a target of Rs 198 and Rs 191 should be the stop loss.']"
