,Company,Source,Category,Date,Author,Title,Tags,Subtitle,Content
9047,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'Earnings']",2013-02-08 17:06:00,['PTI'],['Cadila Health Q3 net dips 31% at Rs 102.91 crore'],"['BSE', 'Cadila Healthcare', 'Earnings Announcement', 'Cadila Health']",[],"[""NEW DELHI: Drug firmCadila Healthcaretoday reported 31.03 per cent dip in consolidated net profit to Rs 102.91 crore for its third quarter ended December 31, mainly on account of increase in cost of materials consumed.The group had posted net profit of Rs 149.21 crore after taxes, minority interest and share of profits/loss of the associates, in the same quarter of last fiscal, Cadila Healthcare said in a filing toBSE.Consolidated net sales however rose to Rs 1,594.20 crore in Q3, FY'12, from Rs 1,373.64 crore in the year-ago period.The cost of materials consumed rose to Rs 398.45 crore for the third quarter ended December 31, 2012 as against Rs 249.01 crore for quarter ended December 31, 2011, Cadila Healthcare said.The company's scrip closed at Rs 791.35 on the BSE, down 3.02 per cent from the previous close.""]"
9054,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'Earnings']",2013-02-08 17:21:00,['PTI'],['Cadila Health Q3 net dips 31% at Rs 102.91 cr'],"['BSE', 'Cadila Healthcare']",[],"[""NEW DELHI: Drug firmCadila Healthcaretoday reported 31.03 per cent dip in consolidated net profit to Rs 102.91 crore for its third quarter ended December 31, mainly on account of increase in cost of materials consumed.The group had posted net profit of Rs 149.21 crore after taxes, minority interest and share of profits/loss of the associates, in the same quarter of last fiscal, Cadila Healthcare said in a filing toBSE.Consolidated net sales however rose to Rs 1,594.20 crore in Q3, FY'12, from Rs 1,373.64 crore in the year-ago period.The cost of materials consumed rose to Rs 398.45 crore for the third quarter ended December 31, 2012 as against Rs 249.01 crore for quarter ended December 31, 2011, Cadila Healthcare said.The company's scrip closed at Rs 791.35 on the BSE, down 3.02 per cent from the previous close.""]"
9675,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'News']",2013-02-11 17:36:00,['PTI'],['Cadila Health shares drop over 6% post Q3 results'],"['Cadila Healthcare', 'BSE', 'NSE']",[],"[""MUMBAI: Shares of drug firmCadila Healthcaretoday tanked by more than 6 per cent after the company reported 31 per cent dip in consolidated net profit for its third quarter ended December 31.After falling nearly 9 per cent in intra-day trade, the company scrip finally closed at Rs 740.45, down 6.43 per cent on theBSE.AtNSE, the stock closed 6.36 per cent lower at Rs 740. Cadila Healthcare had on Friday reported 31.03 per cent dip in consolidated net profit to Rs 102.91 crore for the October-December quarter this fiscal, mainly on account of increase in cost of materials consumed.The group had posted net profit of Rs 149.21 crore after taxes, minority interest and share of profits/loss of the associates, in the same quarter of last fiscal.The company's consolidated net sales rose however to Rs 1,594.20 crore in Q3, FY'13, from Rs 1,373.64 crore in the year-ago period.""]"
19229,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'News']",2013-03-22 07:16:00,['ET Bureau'],"['Brokers? Call on Radico Khaitan,  Jaiprakash Power Ventures,  Cairn India, Cadila Healthcare and Shriram Transport Finance']","['Rupee', 'finance', 'JSW Energy', 'Cairn India', 'Radico Khaitan', 'India Infoline', 'Cadila Healthcare']",[],"['IIFLRetains Buy on RadicoIndia Infolinehas maintained its \'Buy\' rating onRadico Khaitanwith a target price of Rs 160.The brokerage house said it interacted with the management of Radico Khaitan to get an outlook for the company\'s IMFL business especially the growth prognosis for premium brands. From a ~10% share of overall volumes in FY10, premium brands ? Magic Moments vodka & Morpheusbrandy? are likely to raise their share to 19.7% by FY15. It said the company expects premium brands to post 18-20% annual growth over the next 1-2 years while other main line brands like 8PM whisky are likely to post 6-7% rise in the next fiscal. However, the focus would remain on portfolio premiumisation.Citi Puts a Buy on JPVLCiti has assigned a \'Buy\' rating onJaiprakash Power Ventureswith a target price of Rs 36. It said JP Power has corrected 35%+ on account of weak Q3 results, equity fund-raising and Jaypee Group\'sleverageworries. Despite the fact that 4QFY13E is expected to be weak and one cannot rule out more equity raising, the brokerage prefers JP Power andJSW Energyvis-a-vis other private sector IPPs. It also said JP Power\'s valuations do not seem challenging at 1.2x P/BV FY14E with EPSCAGRof 44% over FY12-15E with RoEs expanding from 7.5% in FY12 to 16.4% in FY15E.Jeffries UpgradesCairnto BuyJefferies has upgradedCairn Indiato \'Buy\' rating on attractive valuat ions with a target price of Rs 365. Jefferies said Cairn\'s recent under-performance meant most production related risks are likely being priced in. Continued high crude price or furtherrupeedepreciation, as expected by its strategist, could provide significant upside. It also said while many production related catalysts are slightly back-ended and may take at least 6-12 months to transpire, the current price provides a good entry opportunity with limited downside risk.AvendusUpgradesCadilaHealthAvendus has raised its rating onCadila Healthcare(CDH) to \'Buy\' with a target price of Rs 928. It said a rebound in CDH\'s US generic business and the company\'s ability to put the segment back on track are crucial to earnings and valuations. ""We now attempt to quantify the impact resulting from a deep slide in US generic sales, away from estimates,"" Avendus said in a client note. It estimates that a potential disappointment in US generic sales, falling short between $70 million and $190 million over FY14f-FY15f, and maintaining profitability in other business heads constant, could pull down net earnings by 8%/14% for FY14f/FY15f from its estimates.\'ShriramTransport Fin a Buy\'NomuraEquity Research has maintained its \'Buy\' rating onShriramTransportFinancewith a target price ofRs840 on an improved outlook for both growth and asset quality.']"
26691,CADILA HEALTHCARE,econominc-times,"['Industry', 'Healthcare/Biotech', 'Pharmaceuticals']",2013-04-22 17:39:00,['PTI'],['Cadila Healthcare to merge certain subsidiaries with itself'],"['Cadila Healthcare Ltd', 'Zydus Animal Health Ltd', 'Zydus Pharmaceuticals Ltd', 'ZAHL LHL', 'Africa', 'USA', 'BSE']",['Cadila Healthcare to merge certain subsidiaries with itself'],"['NEW DELHI: Drug makerCadila Healthcaretoday said its board has approved the merger of various wholly-owned subsidiaries, includingZydus Animal Health Ltdwith itself.The board of directors of Zydus Animal Health Ltd (ZAHL),Live Healthcare Ltd(LHL)andZydus Pharmaceuticals Ltd(ZPL) at their respective meetings held today approved amalgamation withCadila Healthcare Ltd, the Ahmedabad-based firm said in a filing toBSE.The board of Cadila Healthcare also approved the amalgamation with ZAHL, LHL and ZPL, it added.In terms of the scheme, ZAHL, LHL and ZPL will be amalgamated with the company followed bt the dissolution without winding up of ZAHL, LHL and ZPL, the company said.""Upon the scheme being effective, in consideration of the tranfer and vesting of the undertakings of ZAHL, LHL and ZPL (the transferor companies) in the company...all the equity shares issued by the transferor companies and held by the company and its nominees shall stand cancelled and extinguished,"" it added.Headquartered in Ahmedabad, Zydus Cadila group has global operations in four continentsspreadacrossUSA, Europe, Japan, Brazil, SouthAfricaand 25 other emerging markets.The group\'s operations range from active pharmaceutical ingredients (API) to formulations, animal health products and cosmeceuticals.Shares of Cadila Healthcare today closed at Rs 770.35 on the BSE, up 0.92 per cent from their previous close.']"
26749,CADILA HEALTHCARE,econominc-times,"['Industry', 'Healthcare/Biotech', 'Pharmaceuticals']",2013-04-22 19:31:00,"['ByVishal Dutta, ET Bureau']",['Zydus Cadila Group to merge its three subsidiaries with its listed entity Cadila Healthcare Ltd'],"['Cadila Healthcare Ltd.', 'Zydus Pharmaceuticals Ltd', 'Sarabhai Zydus Animal Health Ltd .', 'pharmaceuticals', 'Zydus Cadila', 'subsidiaries', 'Zydus Cadila Group']",[],"[""AHMEDABAD: Ahmedabad-based drug makerZydus Cadila Group, to merge its threesubsidiarieswith its listed entityCadila Healthcare Ltd.In a statement issued onBombay Stock Exchangeon Monday, Cadila Healthcare Ltd said that its Board of Directors as well as the Board of Directors of Zydus Animal Health Ltd (ZAHL),Liva HealthcareLtd (LHL) andZydus Pharmaceuticals Ltd(ZPL) has approved the amalgamation of all the three entity with the flagship company Cadila Healthcare.In 2000,Zydus Cadilahad created a strategic alliance withAmbalal SarabhaiEnterprises to integrate the animal healthcare business of both the group to create 'Sarabhai Zydus Animal Health Ltd'. Later in 2007, Cadila Healthcare acquired the entire stake in the joint venture to make its wholly owned subsidiary - ZAHL. Same year in 2007, Zydus Cadila acquired dermatology company Liva Healthcare.In terms of the Scheme ZAHL, LHL and ZPL will be amalgamated with the Company followed by the dissolution without winding up of the ZAHL, LHL and ZPL. However, this is subject to and conditional upon requisite approvals and section being received as per the law.Upon the Scheme being effective, in consideration of the transfer and vesting of the undertaking of ZAHL, LHL and ZPL (the transferor Company) in the Cadila Healthcare Ltd, all the equity shares issued by the Transferor Companies and held by the Company and its nominees shall stand cancelled and extinguished and in lieu thereof, no allotment of any shares in the Company shall be made.On Monday, Cadila Healthcare's stock price surged marginally closing at Rs 770.35 on Bombay Stock Exchange.""]"
32551,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-05-14 08:57:00,['ET Now'],['Buy Cadila Healthcare Ltd with a target of Rs 850 : Ashwani Gujral'],['Ashwani Gujral'],[],"['In a chat with ET Now,Ashwani Gujralof ashwanigujral.com shares his view on Cadila Healthcare LtdET Now: What is your view on Cadila Healthcare Ltd?Ashwani Gujral:Cadila Healthcare Ltd is a buy call with a target of Rs 850 and a stop loss of Rs 780.']"
38223,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-06-05 08:58:00,['ET Now'],['Buy Cadila Healthcare Ltd with a target price of Rs 850: Ashwani Gujral'],"['markets', 'stocks', 'Cadila Healthcare Ltd', 'Ashwani Gujral']",[],"[""In a chat with ET Now,Ashwani Gujralof ashwanigujral.com, shares his views onCadila Healthcare Ltd.ET Now: What is your view on Cadila Healthcare Ltd?Ashwani Gujral: Cadila Healthcare Ltd is a 'BUY' call with a target of Rs 850 and a stop loss of Rs 800.""]"
38919,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'Recos']",2013-06-07 12:01:00,['ET Now'],"['Positive on Cadila Health, Torrent Pharma within the pharma space: Kunj Bansal, Sanlam India']","['stocks', 'Sanlam', 'Cadila Healthcare Ltd.', 'Torrent Pharmaceuticals Ltd.', 'no doubt', 'Cadila Health', 'et now']",[],"['In a chat withET Now,Kunj Bansal, Chief Investment Officer,Sanlam India, shares his views on pharma space.ET Now: How are you approaching the pharma space though there arestockswhich have already seen a fair amount of run up like Dr. Reddy, Sun Pharma and then there are some new stories like Ranbaxy because of which they are getting beaten down?Kunj Bansal:We do have an existing position in the pharma space. Also, we are adding some of the new ideas that have emerged over the last few days. I like Cadila Healthcare based on the announcement of new molecule and the decent combination between valuation and fundamentals of the company.Sun Pharma is of course a good company, giving very good numbers. But the valuation may not be comfortable.No doubtit is a momentum investing kind of a stock and Sun Pharma could still give return. Another stock is Torrent Pharmaceuticals which is looking good and has given very good quarterly results as well.']"
55243,CADILA HEALTHCARE,econominc-times,"['Markets', 'Stocks', 'Earnings']",2013-08-07 18:18:00,[''],['Cadila Healthcare Q1 profit up 1.33%'],"['Cadila Healthcare', 'BSE', 'Earnings Announcement']",[],"[""NEW DELHI:Cadila Healthcaretoday reported 1.33 per cent increase in net profit at Rs 203.61 crore for the quarter ended June 30, 2013.The growth rate was modest as expenses saw an increase of over nine per cent.The company had reported net profit of Rs 200.93 crore in the same quarter a year ago.Net sales in the quarter under review were at at Rs 1,607.45 crore, an increase of 6.02 per cent as against Rs 1,516.1 crore in the corresponding period last year, the company said in aBSEfiling.Overall expenses in the quarter were at Rs 1,397.82 crore, an increase of 9.16 per cent compared with Rs 1,280.44 crore in the same quarter last year.Shares of Cadila Healthcare closed at Rs 746.10 apiece at the end of day's trade, up 0.24 per cent from the previous day's close on the BSE.""]"
