Company Name,Industry,Symbol,Series,ISIN Code
Aurobindo Pharma,PHARMA,AUROPHARMA,EQ,INE406A01037
Biocon,PHARMA,BIOCON,EQ,INE376G01013
Cadila Healthcare,PHARMA,CADILAHC,EQ,INE010B01027
Cipla,PHARMA,CIPLA,EQ,INE059A01026
Divi's Laboratories,PHARMA,DIVISLAB,EQ,INE361B01024
Dr. Reddy's Laboratories,PHARMA,DRREDDY,EQ,INE089A01023
Glenmark Pharmaceuticals,PHARMA,GLENMARK,EQ,INE935A01035
Lupin,PHARMA,LUPIN,EQ,INE326A01037
Piramal Enterprises,PHARMA,PEL,EQ,INE140A01024
Sun Pharmaceutical Industries,PHARMA,SUNPHARMA,EQ,INE044A01036
