,Source,Category,Date,Author,Title,Tags,Subtitle,Content
0,bloombergquint,['business'],"January 19 2018,  9:34PM",Hugh Son,JPMorgan Boosts Dimon's Pay 5.4% to $29.5 Million for 2017,[],"(Bloomberg) -- JPMorgan Chase & Co. Chief Executive Officer Jamie Dimon received $29.5 million in total compensation for his work in 2017, an increase of 5.4 percent from a year earlier.","['(Bloomberg) -- JPMorgan Chase & Co. Chief Executive Officer Jamie Dimon received $29.5 million in total compensation for his work in 2017, an increase of 5.4 percent from a year earlier.', 'Dimon’s pay included $23 million of restricted stock tied to performance, a $5 million cash bonus and $1.5 million salary, the New York-based bank said Thursday in a regulatory filing. It was the second-biggest package the 61-year-old billionaire banker has received since he became CEO in 2005, only trailing his $49.9 million of reported compensation for 2007.', 'Last year, JMorgan put more distance between itself and a spate of legal and regulatory woes that had stung the biggest U.S. bank in the wake of the financial crisis. The firm posted record adjusted profit of $26.5 billion for 2017 and its shares rose 24 percent, outpacing the 20 percent advance for the 67-company S&P 500 Financials Index.', 'Dimon’s deputies also received raises, JPMorgan spokesman Joe Evangelisti said in an email:', '', '', '©2018 Bloomberg L.P.']"
0,bloombergquint,['business'],"January 19 2018, 10:26AM",Benjamin Katz,Airbus Handed A380 Lifeline With $16 Billion Emirates Order,[],"(Bloomberg) -- Airbus SE pulled its flagship A380 superjumbo back from the brink with a follow-up order from Emirates, giving the giant jet a new lease of life days after the planemaker floated the possibility of killing it off amid slack demand.","['(Bloomberg) -- Airbus SE pulled its flagship A380 superjumbo back from the brink with a follow-up order from\xa0Emirates, giving the giant jet a new lease of life days after the planemaker floated the possibility of killing it off amid slack demand.', 'The Dubai-based carrier, already the biggest A380 customer, signed an outline agreement for 20 of the double-deckers with an option to buy 16 more, worth a potential $16 billion at list prices, it said Thursday, handing Airbus the first orders for the model in more than two years.', 'The purchase will extend A380 production until 2029 if Emirates takes all of the planes, according to Airbus, which as recently as Monday had acknowledged that the program could beterminatedwithout a new sale soon. The carrier had scuttled a deal for the same number of aircraft toward the end of last year amid doubts about the manufacturer’s dedication to improving the plane.', '“This new order underscores Airbus’s commitment to produce the A380 at least for another 10 years,” John Leahy, the Toulouse, France-based company’s outgoing sales chief, said in a statement. “I’m personally convinced more orders will follow Emirates’s example.”', 'The new aircraft will be delivered from 2020, with engine options still under evaluation. Rolls-Royce Holdings Plc is supplying turbines as part of Emirates’s most recent order for 50 A380s, while the Engine Alliance of General Electric Co. and Pratt & Whitney powered the previous 90.', 'If Emirates signs off on the full deal it will have committed to a total of 178 A380s, or more than half of all orders for the plane worldwide. The carrier currently has 101 superjumbos in its fleet, and many older aircraft will have been phased out before the new batch arrives.', 'Airbus’s failure to land the order in November at the Dubai Air Show left the manufacturer red faced, with Emirates pulling out just minutes before an announcement was due as dignitaries were gathering for the event. Salvaging the deal will be especially important to Leahy, allowing him to deliver a final coup before standing down as sales supremo next week.', 'The planemaker and airline have developed an almost symbiotic relationship around the A380. Emirates has given the superjumbo a public profile it would otherwise have struggled to attain, while the 550-seat jet has enabled the carrier divert a significant proportion of global traffic via what’s a natural global crossroads but which was for so long an aviation backwater.', 'For Airbus the deal will avoid an early shutdown of its most prominent program, the oldest examples from which are barely 10 years old. The company is also keen to keep the A380 going in anticipation of the global travel market favoring bigger planes in years to come as the number of people flying climbs and runways become more and more crowded.', 'For a recap of the high-tension earlier talks with Emirates, click here', 'Emirates\xa0Chairman Sheikh Ahmed bin Saeed Al Maktoum, who signed the deal with Leahy in Dubai, said is company will now work with Airbus “to further enhance the aircraft and onboard product.”', 'The option component of the order may give Emirates leverage to press for enhancements possibly up to a re-engined version of the plane, Jefferies International Ltd. analyst Sandy Morris said in a note. The Gulf carrier previously dangled the possibility of as many as 200 orders if Airbus agreed to develop the new engine option or Neo, only for the manufacturer and Rolls-Royce to push back against the proposal.', 'A spokesman for London-based Rolls said it welcomes the opportunity to “be selected again by Emirates,” while declining to comment further.', 'As of the end of last year, Airbus had a total of 95 unfilled A380 orders, though only 48 of those, the vast bulk from Emirates, can be regarded as credible, according to Morris. Orders from carriers including Virgin Atlantic Airways Ltd. and sat on the books undelivered for years.', 'Airbus shares rose as much as 3.1 percent and traded 2.6 percent higher as of 12:55 p.m. in Paris.', '', '', '©2018 Bloomberg L.P.']"
0,bloombergquint,['markets'],"January 21 2018, 11:08PM",Elena Popina,`The Intensity Is Crazy': Stock Advisers Bask in the Bull Market,[],"(Bloomberg) -- It was around the holidays when things started getting “totally insane” for John Petrides. With stocks raging, fund clients left him alone for exactly one day: Christmas. They started calling again the next morning and haven’t let up in the four weeks since.","['(Bloomberg) -- It was around the holidays when things started getting “totally insane” for John Petrides. With stocks raging, fund clients left him alone for exactly one day: Christmas. They started calling again the next morning and haven’t let up in the four weeks since.', '“The intensity is crazy” -- both at home and in the offices of Point View Wealth Management in Summit, New Jersey, where Petrides manages money. “Phone calls, emails, conference calls, and everyone wanted to know about the tax cuts and what it means for the market.”', 'On the Milwaukee trading floor of Robert W. Baird & Co., the phone rings and the volume of emails and instant messages fluctuates with the suddenness of market moves. One of the busiest days was Tuesday, when a midday swoon knocked the Dow Jones Industrials down almost 400 points from its high. Now that reversal’s just a blip.', '“It’s relentless and remarkable,” said Michael Antonelli, an institutional equity sales trader and managing director there. “When you see people buying an industrial stock, Boeing, like it’s a FANG, you know that’s emblematic of this rally when they are buying stocks with both hands.”', 'Such are the lives of stock advisers when the S&P 500 rallies in 10 of 13 days to begin a year. It just capped its third straight weekly advance to post the best start since 1987. Even with Tuesday’s turnaround, the benchmark added 0.9 percent to 2,810.30 over the four days, while the Dow rose 1 percent to 26,071.72 and the Nasdaq Composite climbed 1 percent to 7,336.38.', 'Two things are driving the rally. One is earnings optimism fueled partly by President Donald Trump’s tax overhaul. Based on analyst forecast for individual companies, S&P 500 members are expected to earn a combined $151.60 a share in 2018 and $167.40 in 2019. Both figures have risen about 4 percent from mid-December forone of the biggestupward revisions on record.', 'The other is the crush of money landing in equity markets. Global stock funds have taken in $58 billion over the last four weeks, the most ever recorded, according to Bank of America Corp.researchbased on EPFR data. That includes $23.9 billion last week, with the largest share going to to U.S. funds.', 'It’s all muting skeptics who get nervous because the S&P 500 hasn’t suffered a 5 percent correction in a year and a half. Animal spirits are rising everywhere -- stock indexes in Hong Kong, Brazil, Italy and China are all up more than 5 percent already in 2018.', 'In December, Washington’s tax debate had the undivided attention of UBS Wealth Management’s Max Kunkel -- who was sitting in Switzerland. For Kunkel, who helps oversee $2.3 trillion for the bank’s wealthiest clients, the passage of the tax cuts was a make-or-break moment for U.S. equity exposure, which he’s been cutting since mid-2017 in favor of emerging and European assets. It’s a strategy he reconsidered.', '“The tax reform clearly brought a change of fundamentals,” said Kunkel, an ultra high net worth investment strategist at UBS Wealth Management. “We called for a 15 percent earnings growth if the tax plan passes and an 8 percent growth if it doesn’t. For me in Zurich, what was happening in Washington was a big deal.”', 'Optimism that a Trump-fueled rally will keep going is high among institutions and mom-and-pop investors alike. The price of one-month bearish S&P 500 puts has fallen tomulti-year lowsrelative to bullish calls as short interest in the companies listed on the main U.S. exchanges fell to the lowest since February last month. A survey by the University of Michigan shows that 66 percent of Americans think the stock market will go up in the next year, a record high.', 'For Leo Kelly, chief executive officer at Verdence Capital Advisors, this means more questions from clients on the sustainability of the rally.', '“I am getting more calls than before, and half of the clients is asking if it’s time to pull back from equities, while other half wants to go all in,” Kelly, who helps manage $2.3 billion for people with an average more than $10 million in assets, said by phone. “I don’t let them do either of these. The market may have more room to run, but I keep saying to my clients, ‘Remember what you felt in a 2008 crash and how you promised not to overextend in one asset class?’ ”', '', '', '©2018 Bloomberg L.P.']"
0,bloombergquint,['markets'],"January 21 2018,  9:18AM",Sajeet Manghat,What NSE Stands To Lose From Nifty Single-Stock Futures In Singapore,[],The National Stock Exchange fears losing volumes in stock futures trading that contributes over 85 percent of the futures turnover at India’s largest exchange.,"['The National Stock Exchange fears losing volumes in stock futures trading that contributes over 85 percent of the futures turnover at India’s largest exchange.', 'That’s because the Singapore Stock Exchange plans to start single-stock futures tracking some of India’s largest companies that are part of the Nifty 50 index. The NSE is seeking to delay the launch,Bloombergreportedquoting unidentified people aware of the matter. The Singapore exchange said today it will launch the new product starting Feb. 5.', 'Foreign portfolio investors have a higher share in outstanding contracts than domestic peers in single-stock futures as they use them to hedge their positions in the cash market, a senior derivatives trader at a large domestic brokerage told BloombergQuint requesting anonymity. Most of the FPI exposure is concentrated in Nifty 50 stocks which contribute a third of the futures turnover on the NSE, he said. If SGX goes ahead with the launch, he said, nearly 50 percent of the FPI turnover is likely to move by the end of the first month.', 'India’s largest stock exchange has already lost volumes in index futures to SGX after the government cracked down on investments through offshore derivative instruments used by foreign investors not registered in India. Investments via ODIs, also called participatory notes, have dried up while corresponding volumes in Nifty Futures on the SGX have gone up. The two exchanges have a pact to offer such contracts. Now, the SGX single-stock futures threaten to take away volumes from the NSE.', 'NSE is yet to respond to BloombergQuint’s emailed queries.', 'The most active product on the SGX is Nifty Futures with a daily turnover of around $1 billion and $9 billion worth of outstanding contracts as of Jan. 18. That compares with nearly $3.4 billion of open interest of FPIs in Nifty and Nifty Bank Futures on the NSE.', 'Trading on SGX has its advantages. For one, contracts are dollar-denominated and reduce costs. The compliance and margin requirements are simpler and tax advantages give an edge to anyone taking up a hedging position in Singapore, said the trader cited above.', 'FPIs account for nearly 70 percent of the outstanding contracts in index futures in offshore markets like SGX, said a senior exchange official requesting anonymity. The government should step in to reduce transaction costs to prevent FPIs from migrating to SGX, he said.', 'On the NSE, the notional value of ODIs in derivatives fell to Rs 5,072 crore at the end of Nov. from Rs 47,674 crore at May-end. The Securities and Exchange Board of India had in July asked FPIs to liquidate such offshore contracts either by the end of the contract or the end of 2020, whichever is earlier.', 'Going by volumes on SGX, foreign investors who traded in index futures through P-Notesmigrated to Singaporein 2017 after the government’s crackdown.']"
0,bloombergquint,['markets'],"January 20 2018,  4:16AM",Arundhati Sarkar,Reliance Profit Matches Estimates On Strong Petchem Earnings,[],Reliance Industries Ltd.’s third quarter profit rose for the seventh straight quarter aided by strong petrochemicals earnings and stable refining operations.,"['Reliance Industries Ltd.’s third quarter profit rose for the seventh straight quarter aided by strong petrochemicals earnings and stable refining operations.', 'Net profit at the Mukesh Ambani-led company rose 2.3 percent to Rs 8,454 crore as compared to the same quarter last year, the company said in a stock exchange filing. Analysts tracked by Bloomberg had pegged the profit at Rs 8,345 crore. Revenue rose 6.9 percent to Rs 73,256 crore quarter-on-quarter, below the Bloomberg consensus estimate of Rs 76,105 crore.', 'The bottom line was boosted by a 21 percent increase in revenue from the petrochemical business. The refining business top line grew 7.6 percent to Rs 63,806 crore on a quarterly basis. “Our refining business has delivered 12 consecutive quarter of double-digit refining margins, demonstrating operating excellence and healthy industry fundamentals. Benefits of the large investments in petrochemical business are beginning to show with the segment reporting its highest ever earnings,” RIL Chairman Mukesh Ambani said in the earnings press release.', 'Higher profits from the the petrochemicals and refining business is crucial for RIL as competition intensifies for its telecom and retail segments. India’s largest company by market capitalisation is spending $20 billion on the legacy refining and petrochemicals business to enhance capacity.', 'Also Read:Reliance Jio Turns In A Profit In Just Over A Year Of Operations', 'Reliance earned about $ 11.6 for every barrel of crude processed into fuel in the third quarter as compared to $12 per barrel in the previous quarter. That was in line with $11.5 per barrel estimated. The refiner’s premium over the benchmark Singapore complex margin expanded to $4.6 per barrel from $3.7 per barrel in the previous quarter.', 'Higher oil prices in the quarter ended December aided the refining margin as the company gained on the value of inventory of crude and oil products it has to keep.', 'Shares of RIL closed 1.58 percent higher on the BSE ahead of the earnings announcement.']"
0,bloombergquint,['markets'],"January 22 2018,  9:34AM",Angelina Rascouet,IEA Prediction of Explosive U.S. Oil Growth Stokes OPEC Fears,[],(Bloomberg) --OPEC’s fearthat another surge of shale oil could neutralize its production cuts might be coming true.,"['(Bloomberg) --OPEC’s fearthat another surge of shale oil could neutralize its production cuts might be coming true.', 'U.S. oil output is set for “explosive” growth this year as prices rally,\xa0the International Energy Agency said on Friday. That was just one of a chorus of voices from Goldman Sachs group Inc. toOPEC itselfwarning\xa0of a looming output surge reminiscent of the “heady days” of the first shale boom.', 'As the Organization of Petroleum Exporting Countries and allies including Russia gather in Oman this weekend, achievements including a three-year high in oil prices and rapidly dwindling supply glut may be overshadowed by the risk of becomingvictims of their own success.', '“The big 2018 supply story is unfolding fast in the Americas”\xa0the IEA said in its monthly report. “Explosive growth in the U.S. and substantial gains in Canada and Brazil will far outweigh potentially steep declines in Venezuela and Mexico.”', 'Even with the moderate price response to the OPEC-led cuts during most of 2017, rival suppliers still managed to bounce back with output growth of 700,000 barrels a day, the IEA said. As producers react to the recent surge in Brent crude above $70 a barrel, the agency expects non-OPEC supply to expand by 1.7 million this year, the biggest jump since the peak of the shale boom.', 'See also: Conoco CEO Fears ‘Overcorrection’ as Oil Rally Tempts Drillers', 'That would deliver an unsatisfying outcome for OPEC and its allies in 2018. Rival suppliers would be handed the entire 1.3 million barrel-a-day expansion in the global oil market this year, and U.S. crude output could overtake that of Saudi Arabia and even get close to Russia, IEA data show. To make matters worse, another year of production cuts would have little effect on oil inventories -- which the agency says are still 90 million barrels above OPEC’s target.', 'While the U.S. gains, there are others that are still suffering. The IEA expects Venezuela’s troubles to worsen after its 2017 production fell to the lowest in nearly 30 years.', '“Given Venezuela’s astonishing debt and deteriorating oil network, it is possible that declines this year will be even steeper than the 270,000 barrels a day in 2017,” the report said. Yet, the IEA doesn’t see a “clear sign yet of OPEC turning up the taps to cool down oil’s rally” or “compensate for a precipitous drop in supply from Venezuela.”', 'OPEC and its partners will meet in Oman over the next two days to review their strategy for clearing the global oil glut.\xa0Ministers from the United Arab Emirates, Iraq and Kuwait have said the deal needs to continue. Russia’s Energy Minister Alexander Novak said\xa0talks this weekend could include mechanisms for gradually exiting the supply cuts after the agreement concludes at the end of 2018, while also reaffirming its commitment to the agreement.', 'For now, OPEC’s own analysis of the oil market isn’t flashing any warning signs. The group predicts stronger growth in demand and a weaker recovery in rival supplies than the IEA, implying a steady drop in inventories through the year.', '“We see the IEA’s assessment as more realistic than OPEC’s,” analysts at Commerzbank AG said in a note. “OPEC’s assumption of non-OPEC supply is far too low.”', '', '', '©2018 Bloomberg L.P.']"
0,bloombergquint,['markets'],"January 22 2018,  3:11AM",Christopher Sell,Speculation Grows That OPEC Will End Cuts Early as Prices Rise,[],"(Bloomberg) -- As oil trades near a three-year high and crude stockpiles fall rapidly, analysts are questioning whether the OPEC-led production cuts will last until the end of the year. As the producer group gears up for a meeting with its partners to review strategy in Muscat, Oman, this weekend, there are growing expectations that the deal will be phased out early.","['(Bloomberg) -- As oil trades near a three-year high and crude stockpiles fall rapidly, analysts are questioning whether the OPEC-led production cuts will last until the end of the year. As the producer group gears up for a meeting\xa0with its partners to review strategy in Muscat, Oman, this weekend, there are growing expectations that the deal will be phased out early.', 'The ""probability is growing"" that the accord may conclude before the end of the year, said Harry Tchilinguirian, BNP Paribas SA’s head of commodity strategy. Discussions around an early exit are likely to emerge at the next OPEC meeting in June, he said.', '""If Brent is still trading around $60 a barrel and oil inventories are close enough to OPEC’s five-year average,"" the deal may be phased out informally by nations gradually weakening their compliance with production cuts, Tchilinguirian said. It would be ""prudent"" to expect OPEC members will start cheating given higher oil prices, said Energy Aspects Ltd.’s chief oil analyst Amrita Sen.', 'Other analysts predict a more formalized unwinding of the cuts.', '""I don’t think the deal per se will end"" as inventories near the five-year average, said Bjarne Schieldrop, chief commodity analyst at SEB AB. The Declaration of Cooperation -- the 2016 accord that first established the group of 24 oil producers-- will still stand, but be modified to allow for production cuts to gradually unwind from mid-2018, he said.', 'Giovanni Staunovo, commodity analyst at UBS Group AG, expects a similar outcome. Citigroup Inc., whose data show that global oil stockpiles are already back in line with the five-year average, predicts asummer agreementto ramp up production.', 'The oil producers themselves say they’re sticking to the plan. While Russia’s Energy Minister Alexander Novak told reporters on Jan. 12 that the meeting in Oman could include discussion of mechanisms for gradually exiting the cuts, four days later he affirmed that the pact should continue. Ministers from the United Arab Emirates, Iraq and Kuwait also insisted there’s no need to change tack.', '', '', '©2018 Bloomberg L.P.']"
0,bloombergquint,['markets'],"January 20 2018, 12:39PM",Ksenia Galouchko,Stampede Is On for Stocks as Investors Fear Missing Out on Rally,[],"(Bloomberg) -- FOMO is driving equity fund managers in a “super-frothy start” to the new year, says Bank of America Corp.","['(Bloomberg) -- FOMO is driving equity fund managers in a “super-frothy start” to the new year, says Bank of America Corp.', 'The rally in January implies an annualized return of 133 percent in the S&P 500 Index, and a fear of missing out has prompted investors to send a record amount of money to equity funds in the past four weeks, strategists at the lender’s Merrill Lynch unit wrote in a Jan. 18 note\xa0citing EPFR Global data. Equity markets around the world have been on fire in 2018, with U.S. benchmarks in particular hitting milestone after milestone in quick succession.', '“Frothy price action likely continues in the short term,” strategists led by\xa0Michael Hartnett wrote, while warning that the bank’s bull-and-bear investor sentiment indicator was at 7.4, close to the sell-signal level of 8 or higher.', 'The question plaguing most institutions, say the strategists, is “what level of bond yields will cause an equity correction.” Yields on U.S. debt have been rising on bets of more Federal Reserve rate hikes and\xa0increased government debt issuance to finance America’s budget deficit, and that of the benchmark Treasury on Fridayclimbedabove 2.64 percent to its highest level in more than three years.', 'U.S. equity funds attracted $6.4 billion in the week through Wednesday, the most among global markets, with European ones drawing $2.2 billion and emerging-market funds, $3.5 billion. Low interest rates andhigh corporate earningsare driving investor conviction in fresh upside to stocks, the strategists wrote in a section titled “Wings of Icarus,” saying the bullish positioning will change if there’s a reversal in the two factors.', 'A correction in equities will only occur once real GDP forecasts, wage inflation and Treasury yields rise above 3 percent, and the S&P 500 crosses 3,000, according to Bank of America’s client marketing feedback. The U.S. equity benchmark is about 200 points away from that threshold.', '', '', '', '©2018 Bloomberg L.P.']"
0,bloombergquint,['markets'],"January 19 2018,  4:05PM",PTI,Amber Enterprises IPO Subscribed 165.3 Times On Final Day,[],"The initial public offering of Amber Enterprises, the manufacturer of air-conditioners, was subscribed 165.31 times so far on the last day of bidding today.","['The initial public offering of Amber Enterprises, the manufacturer of air-conditioners, was subscribed 165.31 times so far on the last day of bidding today.', 'The IPO to raise Rs 600 crore received bids for 81,45,50,121 shares against the total issue size of 49,27,351 shares, data available with the NSE till 7 p.m. showed.', ""The portion set aside for qualified institutional buyers was subscribed 175.82 times, non institutional investors 521.71 times and retail investors 11.42 times, merchant banking sources said. The company's IPO has attracted demand of nearly Rs 70,000 crore, they added. Till yesterday, the IPO was subscribed 3.61 times."", 'The company had raised Rs 179 crore fromanchor investorson Tuesday. The price band for the IPO is fixed at Rs 855-859 per share.', 'The IPO includes fresh issue of shares worth up to Rs 475 crore and sale of scrips to the tune of Rs 125 crore by promoters Jasbir Singh and Daljit Singh.', 'Also Read:Amber Enterprises IPO: All You Need To Know', 'The company plans to use the proceeds for repayment and advance payment of certain loans and other general corporate purposes.', ""Edelweiss Financial Services, IDFC Bank, SBI Capital Markets and BNP Paribas are managing the company's IPO."", 'Gurugram-based Amber Enterprises manufactures air conditioners. Besides, it makes refrigerator components, water purifiers and washing machines.']"
0,bloombergquint,['markets'],"January 19 2018,  2:02PM",Alex  Mathew,"SEBI Places Limits On Strategic Investors’ Stake In REITs, InVITs",[],Market regulator SEBI has placed a limit on investments by strategic investors into real estate investment trusts and infrastructure investment trusts.,"['Market regulator SEBI has placed a limit on investments by strategic investors into real estate investment trusts and infrastructure investment trusts.', 'Strategic investor can invest, either jointly or severally, “not less than 5 percent and not more than 25 percent of the total offer size,” the Securities and Exchange Board of India said in a circular posted on its website.', 'There was no upper cap to these investments earlier, Bhairav Dalal, partner - tax financial services at consulting firm PwC told BloombergQuint. “The move by the SEBI seems to be an attempt to ensure that institutional investors do not corner a large portion of these financial instruments,” he added.', 'Strategic investors are similar to the qualified institutional buyers that participate in India’s financial markets, and include entities like scheduled commercial banks and foreign portfolio investors.', 'The markets regulator has also put in place operational norms for the participation of these strategic investors.', '“The subscription price per unit, payable by the strategic investor would be set out in the unit subscription agreement and the entire subscription price would be deposited in a special escrow account prior to opening of the public issue,” the SEBI said.', 'This price, the regulator said, should not be less than the issue price determined in the public issue. In the event that the public issue price is higher, the strategic investor will have to bring in the additional amount within two working days of the determination of the price. However, if the public issue price is lower, the excess amount will not be refunded to the strategic investor, SEBI said.', 'Besides, the unit subscription agreement made by the strategic investors cannot be terminated except if the issue fails to collect the minimum subscription.', 'SEBI had notified the regulations for REITs and InvITs in 2014, allowing the setting up and listing of such trusts, which are popular in some advanced markets.', 'So far, though, only two InvITs–IRB InvIT Fund and Indiagrid Trust–have been listed on stock exchanges and not a single REIT has been listed.', '“A lot of investors are viewing REITs very positively. The instrument will give a lot of investors who have the ability to invest, another option. A lot of institutional investors have allocations for such investments, but currently cannot make them because of lack of options,” Dalal said.', 'He believes that the delay in listing of REITs is on account of uncertainty at the sponsor level. “The first issuance always takes a little time,” he said. “Once the first one is out of the way, the second one should follow quickly.”']"
