,Source,Category,Date,Author,Title,Tags,Subtitle,Content
0,livemint,Companies,2018-01-21 13:37:00+00:00,PTI,Maruti plans to launch four products in next 12-18 months,"['Maruti Suzuki', 'Maruti Cars', 'Maruti New Cars', 'Swift', 'Ciaz']",Maruti Suzuki India plans to introduce around four new products in the next 12 to 18 months to build further on five years of successive double digit sales growth,"['Pune:The country’s largest car maker Maruti Suzuki India plans to introduce around four new products in the next 12 to 18 months to build further on five years of successive double digit sales growth.', 'The company expects to close the ongoing fiscal with double digit sales growth. Its sales in the domestic market during the April-December period grew by 15.5% at 12,26,418 units as against 10,61,873 units in the year-ago period. It will launch the all-new version of its popular hatchback Swift at the upcoming Auto Expo to be held from 9-14 February.', 'According to sources, besides the new Swift, the company plans to introduce a new refreshed version of its mid-sized sedan, Ciaz and multiple purpose vehicle Ertiga in the coming months. “An all new version of compact car Wagon R is also in the pipeline but its launch timeline hasn’t been fixed,” a source said.', 'Maruti Suzuki India Senior Executive Director (Marketing and Sales) R S Kalsi, however, declined to comment on the company’s launch programme for the next fiscal. “That’s a continuous process and we cannot comment on which one will come when,” he told PTI when asked about the upcoming new product introductions in the market.', 'Commenting on the company’s performance in the ongoing fiscal, he said in the April-December period the company’s sales have grown by 15.3% but the growth rate will be lesser in the fourth quarter due to high base effect of the year-ago period. “We will end the year on healthy double digit growth. Last six years we have been growing more than the industry. The best part is that this will be the fifth year of double digit growth in a row, which is quite an achievement,” Kalsi said.', 'He said the company has been able to sustain its growth momentum in the last few years despite challenges of two consecutive droughts in many parts of India that had an impact on rural markets and policy disruption such as demonetisation and impact of GST implementation.', 'Currently the industry growth is at 8.13% and MSI is confident that it would be ahead of the industry again, he added. When asked about the outlook for 2018-19, Kalsi said, “We expect the similar momentum to continue for the industry. We do not foresee any disruption”. However, for Maruti Suzuki, he said, “We are yet to present our budget to the top management, we are yet to work out our budget for next year. So, commenting on a number for next year will not be possible”.', 'The company is confident that new products like the upcoming Swift will help in adding more volumes. “On the first year of its launch Swift did one lakh units. Subsequent to that, the outgoing Swift has been selling on an average of 15,000 units a month. This (the new one) being many steps above that, we expect the market demand will be more than that,” Kalsi added.', 'The company’s parent Suzuki has spent around Rs 800 crore on the development of the new Swift. The new vehicle will so be produced at Suzuki’s Gujarat plant along with Baleno, besides MSI’s Manesar plant.']"
0,livemint,Politics,2018-01-21 12:49:00+00:00,Sajjad Hussain,Pakistan summons Indian diplomat over ‘unprovoked firing’,"['Pakistan', 'Indian Envoy', 'LOC', 'Ceasefire Violations', 'J P Singh']",Pakistan summoned India’s deputy high commissioner for the fourth consecutive day over the alleged ‘unprovoked firing’ by Indian troops across the LoC,"['Islamabad:Pakistan summoned India’s deputy high commissioner here for the fourth consecutive day today over the alleged “unprovoked firing” by Indian troops across the Line of Control which resulted in the death of two people.', 'The tensions have increased between the two sides due to ongoing skirmishes and Pakistan has summoned India’s Deputy High Commissioner J P Singh five times since Monday. Director General (South Asia and SAARC) Mohammad Faisal summoned Singh and “condemned the unprovoked ceasefire violations” by Indian forces, the Foreign Office said.', 'In a statement, it claimed that the latest violation by Indian forces occurred on 20-21 January, when 18 Indian posts resorted to “unprovoked firing” with mortars and heavy weapons in the Nikial sector at the LoC. The firing killed two civilians - a 33-year-old man and a 25-year-old woman - and injured another women and a girl, the Foreign Office said.', 'Faisal said the deliberate targeting of civilian populated areas is indeed deplorable and against the human dignity, international human rights and humanitarian laws. The repeated ceasefire violations by India “are a threat to regional peace and security and may lead to a strategic miscalculation,” he asserted.', 'He urged the Indian side to respect the 2003 ceasefire arrangement and investigate the repeated incidents of ceasefire violations, the statement said. Faisal also urged the Indian side to allow the UN Military Observer Group in India and Pakistan (UNMOGIP) to play its mandated role as per the UN Security Council resolutions.', 'India maintains that UNMOGIP has outlived its utility and is irrelevant after the Simla Agreement and the consequent establishment of the Line of Control. The FO, apart from today, had summoned India’s deputy high commissioner on 15, 18, 19 and 20 January.PTI']"
0,livemint,Politics,2018-01-21 12:30:00+00:00,PTI,Government moves draft cabinet note on platform for budding businesswomen,"['Businesswomen', 'Women Entrepreneurs', 'Rashtriya Mahila Kosh', 'women and Child Development Ministry', 'Cabinet']","A government platform for aspiring businesswomen where they can seek mentoring, raise funds and register their companies could soon be a reality","['New Delhi:A government platform for aspiring businesswomen where they can seek mentoring, raise funds and register their companies could soon be a reality. The women and child development ministry has prepared a draft Cabinet note on setting up a women entrepreneurship council.', 'The note is being circulated among various ministries for comments. “The council will be a high-profile body which will include women who are established in their fields as well as those seeking to start their own enterprises. The forum will also facilitate mentoring, funding from banks, assistance in raising venture capital, apart from providing services such as registering patents and new companies,” said a ministry spokesperson.', 'In 2016, Women and Child Development Minister Maneka Gandhi had launched an online marketplace for women entrepreneurs called mahila e-haat, when she conceived the idea of a council for aspiring businesswomen.', 'The ministry also supports women in the unorganised sector by providing micro credit for livelihood support through its Rashtriya Mahila Kosh programme.']"
0,livemint,Politics,2018-01-21 12:14:00+00:00,PTI,Delhi warehouse fire: Owner of Bawana firecracker storage unit arrested,"['Bawana warehouse fire', 'Manoj Jain', 'Delhi warehouse Fire', 'Delhi Fire', 'firecrackers']","Delhi Police have arrested Manoj Jain, owner of the firecracker storage unit in Bawana where 17 people were killed in a massive blaze on Saturday","['New Delhi:Police have arrested the owner of the firecracker storage unit in Bawana where 17 people were killed in a massive blaze on Saturday.', 'Manoj Jain, who ran the factory, has been arrested. A probe revealed it was a factory of “cold firecrackers” used in stage shows and Holi celebrations, said Rajneesh Gupta, deputy commissioner of police (Rohini). Firecracker packages found at the site suggest the same, he said.', 'Jain had rented the factory from 1 January, the DCP said.', 'The fire had started in the storage unit on the ground floor of the two-storey building and ripped through the structure. Of the 17 killed, ten were women. A man and woman were injured.', 'Police said an FIR has been registered under Indian Penal Code (IPC) sections relating to culpable homicide not amounting to murder, and negligent conduct with respect to fire or combustible material. The maximum punishment under the sections is 10 years.', 'Jain was apprehended and questioned on Saturday. The other partner of Jain has been identified as Lalit Goel.', 'One of the injured labourers told police that the firecrackers used to be brought from outside and were only packed at the unit.']"
0,livemint,Politics,2018-01-21 12:14:00+00:00,PTI,UNSC sanctions monitoring team to visit Pakistan this week,"['UNSC', 'Pakistan', 'Hafiz Saeed', 'India', 'Mumbai 26/11 Attack']","Amid mounting global pressure on Pakistan to act against Mumbai attack mastermind Hafiz Saeed and entities linked to him, a UN Security Council team will visit the country this week for an assessment","['Islamabad:Amid mounting global pressure on Pakistan to act against Mumbai attack mastermind Hafiz Saeed and entities linked to him, a UN Security Council team will visit the country this week for an assessment of Islamabad’s compliance with the world body’s sanctions regime.', 'The two-day visit of the UN Security Council’s sanctions monitoring team will begin on Thursday. “The monitoring team of the UNSC 1267 Sanctions Committee will be here on 25 and 26 January,” a senior Pakistani official was quoted as saying by Dawn.', 'The UN monitoring team’s visit is taking place amid increasing pressure on Pakistan from the US and India with respect to the inadequate implementation of the sanctions on Saeed and entities linked to him. However, Pakistani officials, insist that the trip is a routine visit. Saeed was listed under UN Security Council Resolution 1267 in December 2008.', 'On Friday, the US State Department said it has told clearly to Islamabad that Saeed is a “terrorist” and should be prosecuted to the fullest extent of the law, reacting strongly to Pakistan Prime Minister Shahid Khaqan Abbasi’s remarks that there was no case against the Mumbai attack mastermind.', 'State Department spokesperson Heather Nauert said: “He is listed by the UNSC 1267, the Al-Qaeda Sanctions Committee for targeted sanctions due to his affiliation with Lashkar-e- Taiba, which is a designated foreign terror organisation.” “We believe that he should be prosecuted to the fullest extent of the law,” Nauert had said.', 'Saeed, the chief of the Jamaat-ud-Dawah (JuD), was released from house arrest in Pakistan in November. The JuD is believed to be the front organisation for the LeT which is responsible for carrying out the Mumbai attack that killed 166 people. It has been declared as a foreign terrorist organisation by the US in June 2014.', '“The terms of reference of the monitoring team for Pakistan visit are not publicly known, but as per its general mandate it assists the 1267 Committee in keeping an eye on the freezing of the financial assets of listed persons and entities and checking provision of training and other material to them and their travel,” the paper said.', 'The UNSC monitoring team intimates instances of non- compliance to the committee through its reports. At the same time it also advises and assists member states on implementation of the regime. Pakistan has remained under the Financial Action Task Force scanner over allegations by the US and India about the UNSC sanctions not being fully implemented, the paper said.', 'The US Department of the Treasury has designated Saeed as a Specially Designated Global Terrorist, and the US, since 2012, has offered a $10 million reward for information that brings Saeed to justice.', '']"
0,livemint,Politics,2018-01-21 11:35:00+00:00,AP,6.3 magnitude earthquake shakes northern Chile: USGS,"['Chile earthquake', 'USGS', 'tremors', 'Tarapaca', 'Putre']","The earthquake’s, which was deep at 110 kilometers, epicenter in Tarapaca was 76 kilometers east of the city of Putre in Chile","['Santiago:The US Geological Survey says a magnitude 6.3 earthquake has struck northern Chile.', 'The quake, which was deep at 110 kilometers (68 miles), struck at 10:06 pm local time Saturday. The epicenter in Tarapaca was 76 kilometers (47 miles) east of the city of Putre, and 118 kilometers (73 miles) southeast of the Peruvian city of Tacna.', 'Local media in Chile said there were no immediate reports of damage and that the navy’s oceanographic service had discarded the possibility of a tsunami.', 'An earthquake with a similar strength shook Tarapaca last October.']"
0,livemint,Money,2018-01-21 11:16:00+00:00,PTI,"FPI net inflow at Rs8,700 crore in capital markets in January so far","['India', 'FPI Inflow', 'January Data', 'Ease of Doing Business', 'Equities']","Foreign investors have put in a whopping Rs8,700 crore in the Indian capital markets this month so far on expectation of recovery in corporate earnings and attractive yields","['New Delhi:Overseas investors have put in a whopping Rs8,700 crore in the Indian capital markets this month so far on expectation of recovery in corporate earnings and attractive yields. This follows an investment of Rs2 lakh crore in the capital markets (equity and debt) in the entire 2017.', 'Quantum MF Fund Manager-Fixed Income Pankaj Pathak, however, believes foreign portfolio investors (FPIs) may not be able to repeat this showing in 2018 as withdrawal of liquidity and rate hikes in developed economies pick up.', 'According to the depositories data, FPIs infused in a net amount of Rs5,769 crore in equities and Rs2,940 crore in the debt markets during 1-19 January—translating into a net inflow of Rs8,709 crore. “The inflow in the current month can be attributed to anticipation of earnings recovery and attractive yields which is expected to further strengthen inflow from foreign investors in current financial year,” said Dinesh Rohira, CEO of 5nance.', 'Morningstar India’s Senior Analyst Manager (Research) Himanshu Srivastava said: “Given 2019 (elections) would not be far, the expectation of some other economic reforms from the government would be high. But the major for FPIs going ahead would be to see growth coming back in the domestic economy, which has not yet picked up contrary to the expectation”.', '']"
0,livemint,Companies,2018-01-21 10:57:00+00:00,PTI,"Bharti Realty to invest Rs3,500 crore on two projects in Delhi-NCR","['Bharti Realty', 'Bharti Enterprises', 'Investment', 'RERA', 'GST']","Bharti Enterprises’ real estate firm Bharti Realty plans to invest about Rs3,500 crore to develop one commercial and a housing project in Delhi-NCR, a top company official said","['New Delhi:Bharti Enterprises’ real estate firm Bharti Realty plans to invest about Rs3,500 crore to develop one commercial and a housing project in Delhi-NCR, a top company official said. The company sees big shift in demand towards organised real estate developers post introduction of new real estate law RERA and GST, Bharti Realty MD and CEO S K Sayal said.', 'Bharti Realty currently has around 15 completed projects, having 5 million sq ft of fully leased Grade-A commercial space, in Delhi-NCR and some other cities, while 1 million sq ft of office building is nearing completion in Gurgaon. “We have bagged a project from Delhi International Airport Ltd (DIAL) to develop a commercial property which will have about 2.5 million sq ft of leasable area, mostly retail,” Sayal told PTI.', 'The company will soon start development of this 23 acre of land parcel and targets to complete it in next four years, he added. Asked about the project cost, Sayal said this retail real estate project, one of the biggest in Delhi-NCR, will be developed with an investment of about Rs1,500 crore.', 'In January last year, DIAL—which operates the aerodrome in the national capital—had given the contract to Bharti Realty to develop an area of nearly 2 lakh sq metres of retail space near the airport here. This contract, decided through bidding process, involved an upfront payment of Rs315 crore as well as license fee equivalent to 20% of revenue with minimum guaranteed payments, GMR had said last year.', 'DIAL is a subsidiary of GMR Infrastructure. Bharti Realty already has 2-3 properties in commercial hub ‘Aerocity’ near Delhi airport. Asked about residential business, Sayal said the company had tied up with Eros Group to enter into housing sector. “We entered into a joint venture with Eros to develop a housing project on 52 acre land at Surajkund in Haryana. We have got all government approvals to develop this project,” he said, adding the construction work would begin soon.', 'This project, comprising 2,300 units and 5 million sq ft development, would be completed over the next seven years with a cost of around Rs2,000 crore, Sayal said. The housing project at Surajkund will be vertical smart city where apartment price will be in the range of Rs1.25 crore to Rs4 crore. The two projects would require a total investment of about Rs3,500 crore and the same would be funded through internal accruals and bank loans.', 'Sayal asserted that the company follows right business practices and therefore was unaffected by the real estate law RERA, GST and demonetisation. “We see demand shifting from unorganised developers to big organised players like us,” he said. Sayal said the company would continue to focus on the national capital region market. The Bharti Group has presence in telecom, agri-business, financial services, retail and real estate among others.', '']"
0,livemint,Politics,2018-01-21 10:37:00+00:00,AFP,At least six dead as Kabul luxury hotel attack ends,"['Kabul’s Intercontinental Hotel attack', 'Kabul hotel attack', 'Afghanistan', 'Afghan Special Forces', 'Taliban']","Afghan security forces killed four gunmen who stormed Kabul’s Intercontinental Hotel killing at least six people, including a foreigner","['', 'Kabul:Gunmen stormed a luxury hotel in Kabul killing at least six people, including a foreigner, sparking a twelve hour fight with security forces that left terrified guests scrambling to escape and parts of the building ablaze.', 'Afghan security forces killed four attackers during the night-time siege, interior ministry spokesman Najib Danish toldTolo News, during which people trapped inside the landmark hotel were seen climbing over balconies to escape.', '“The attack is over,” he said.', '“Five Afghans and one foreigner have been killed,” interior ministry deputy spokesman Nasrat Rahimi toldAFP, adding around 150 people were rescued, including more than 40 foreigners.', '“The body of the foreigner, a woman, was recovered from the sixth floor as the last attacker was being killed,” he added.', 'But an official with Afghanistan’s spy agency toldAFPthe attack was “not over yet” with attackers “still shooting on security forces”.', 'Dramatic images broadcast on Afghanistan’sTolo Newsshowed thick black smoke and flames billowing from the top of the six-floor hilltop Intercontinental Hotel— which is not part of the global InterContinental chain.', 'Several people could be seen climbing over a top-floor balcony using bedsheets to escape, with one losing his grip and plunging to the ground.', 'Officials said four gunmen burst into the hotel on Saturday night, opening fire on guests and staff and taking dozens of people hostage.', 'There was no immediate claim of responsibility for the latest assault in the war-torn Afghan capital, which followed a series of security warnings in recent days to avoid hotels and other locations frequented by foreigners.', 'It was not clear how many people had been inside the hotel, which was attacked by Taliban militants in 2011.', 'During the night special forces were lowered by helicopters onto the roof of the landmark building, Rahimi toldAFP.A guest hiding in a room said he could hear gunfire inside the 1960s hotel where dozens of people attending an information technology conference on Sunday were staying.', '“I don’t know if the attackers are inside the hotel but I can hear gunfire from somewhere near the first floor,” the man, who did not want to be named, tolfAFPby telephone.', '“We are hiding in our rooms. I beg the security forces to rescue us as soon as possible before they reach and kill us.”', 'His phone was switched off whenAFPtried to contact him again.', 'Afghan Telecom regional director Aziz Tayeb, who was attending the IT conference, said he saw the attackers enter the hotel as he was walking towards the exit.', '“Everything became chaotic in a moment. I hid behind a pillar and I saw people who were enjoying themselves a second ago screaming and fleeing like crazy, and some of them falling down, hit by bullets,” Tayeb toldAFP.Local resident Abdul Sattar said he had spoken by phone to some of his friends who are chefs and waiters at the hotel and had been trapped inside.', '“Suddenly they attacked the dinner gathering... (then) they broke into the rooms, took some people hostage and they opened fire on some of them,” he toldAFP.', 'Rahimi said the attackers were armed with small weapons and rocket-propelled grenades when they stormed the hotel, which is a popular venue for weddings, conferences and political gatherings.', 'The last major attack on a high-end hotel in Kabul was in March 2014 when four teenage gunmen raided the Serena, killing nine people includingAFPjournalist Sardar Ahmad.', 'The Intercontinental was previously targeted in June 2011 when a suicide attack claimed by the Taliban killed 21 people, including 10 civilians.', 'Security at the Intercontinental is relatively lax compared with other luxury hotels in Kabul.', 'Even before the attack was over, authorities were questioning how the assailants got past the hotel’s security, which was taken over by a private company three weeks ago, Danish said.', '“We will investigate it,” he said.', 'A hotel employee toldAFPthat as he fled the staff living quarters located in a building next to the hotel he saw the new security guards running for their lives.', '“They didn’t do anything, they didn’t attack. They had no experience,” the man said on the condition of anonymity.', '']"
0,livemint,Politics,2018-01-21 10:09:00+00:00,AP,17 people killed in fire at a Delhi warehouse,"['Bawana warehouse fire', 'Delhi warehouse Fire', 'Delhi Fire', 'firecrackers', 'Bawana industrial area']",A massive fire broke out at a firecracker factory in the Bawana industrial area of New Delhi on Saturday,"['New Delhi:A massive fire broke out at a firecracker factory on the northern outskirts of the Indian capital on Saturday, killing at least 17 workers, a fire official said.', 'A dozen fire engines took three hours to douse the fire in the Bawana industrial area of New Delhi.', 'Seventeen bodies were recovered and one injured worker hospitalized, fire official K.C. Gupta said. A search operation was continuing for any more workers trapped in the two-story structure gutted by the blaze.', 'The cause of the fire was not immediately known.', 'There are fatal accidents nearly every year in India as people work in makeshift factories in the absence of proper safety standards.', 'In June of last year, 23 workers were killed when a blast occurred while they were producing firecrackers in Kheri village in the state of Madhya Pradesh in central India. The explosion triggered a blaze that engulfed the factory before firefighters put it out.', 'India has a huge demand for firecrackers, which are used in religious festivals and weddings.', 'Factories start producing firecrackers months before the nation’s biggest Hindu festivals when people set them off in celebration.', '']"
