,Unnamed: 0,Unnamed: 0.1,instrument_token,exchange_token,tradingsymbol,name1,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,89299,89299,241921,945,SGBJAN26-GB,2.50%GOLDBONDS2026SR-XIV,2.50%GOLDBONDS2026SR-XIV,0,,0,0.01,1,EQ,NSE,NSE
1499,77684,77684,4331777,16921,20 MICRONS,20 MICRONS,20 MICRONS,0,,0,0.05,1,EQ,NSE,NSE
410,68144,68144,1025,4,21STCENMGM,21STCENMGM,21ST CENTURY MGMT SERVICE,0,,0,0.05,1,EQ,NSE,NSE
3214,59626,59626,3014145,11774,3IINFOTECH,3I INFOTECH,3I INFOTECH,0,,0,0.05,1,EQ,NSE,NSE
3190,59565,59565,121345,474,3MINDIA,3M INDIA,3M INDIA,0,,0,0.05,1,EQ,NSE,NSE
5119,77075,77075,113921,445,5PAISA,5PAISA,5PAISA CAPITAL,0,,0,0.05,1,EQ,NSE,NSE
708,61122,61122,3038209,11868,63MOONS,63 MOONS,63 MOONS TECHNOLOGIES,0,,0,0.05,1,EQ,NSE,NSE
3216,59641,59641,2830849,11058,8KMILES,8K MILES,8K MILES SOFT SERV,0,,0,0.05,1,EQ,NSE,NSE
2554,59717,59717,5351937,20906,A2ZINFRA,A2 ZINFRA,A2Z INFRA ENGINEERING,0,,0,0.05,1,EQ,NSE,NSE
3077,59720,59720,1147137,4481,AARTIDRUGS,AARTI DRUG,AARTI DRUGS,0,,0,0.05,1,EQ,NSE,NSE
1778,59690,59690,1793,7,AARTIIND,AARTI IND,AARTI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
3259,59721,59721,3525377,13771,AARVEEDEN,AARVEE DEN,AARVEE DEN. & EXP.,0,,0,0.05,1,EQ,NSE,NSE
5023,77722,77722,2561,10,ABAN,ABAN,ABAN OFFSHORE,0,,0,0.05,1,EQ,NSE,NSE
3193,59645,59645,3329,13,ABB,ABB,ABB INDIA,0,,0,0.05,1,EQ,NSE,NSE
1732,59650,59650,4583169,17903,ABBOTINDIA,ABBOTT INDIA,ABBOTT INDIA,0,,0,0.05,1,EQ,NSE,NSE
3220,59647,59647,3713537,14506,ABGSHIP,ABG SHIP,ABG SHIPYARD,0,,0,0.05,1,EQ,NSE,NSE
4449,68150,68150,4415745,17249,ABMINTLTD,ABM INTLTD,ABM INTERNATIONAL,0,,0,0.05,1,EQ,NSE,NSE
4299,68182,68182,5633,22,ACC,ACC,ACC,0,,0,0.05,1,EQ,NSE,NSE
482,59665,59665,3514881,13730,AFL,AFL,ACCEL FRONTLINE,0,,0,0.05,1,EQ,NSE,NSE
1906,59722,59722,1805569,7053,ACCELYA,ACCELYA,ACCELYA KALE SOLUTION,0,,0,0.05,1,EQ,NSE,NSE
1974,59725,59725,3478273,13587,ACE,ACE,ACTION CONST EQUIP,0,,0,0.05,1,EQ,NSE,NSE
4786,71567,71567,6401,25,ADANI GROUP,ADANI ENT,ADANI ENTERPRISES,0,,0,0.05,1,EQ,NSE,NSE
7,16,16,3861249,15083,ADANI GROUP,ADANI PORT,ADANI PORT & SEZ,0,,0,0.05,1,EQ,NSE,NSE
1088,61911,61911,4451329,17388,ADANI GROUP,ADANI POWER,ADANI POWER,0,,0,0.05,1,EQ,NSE,NSE
4817,80815,80815,2615553,10217,ADANI GROUP,ADANI TRANS,ADANI TRANSMISSION,0,,0,0.05,1,EQ,NSE,NSE
1475,59658,59658,5058817,19761,ADFFOODS,ADF FOODS,ADF FOODS,0,,0,0.05,1,EQ,NSE,NSE
4323,77729,77729,4481793,17507,ADHUNIKIND,ADHUNIK IND,ADHUNIK INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
3291,59807,59807,3416833,13347,ADHUNIK METAL,ADHUNIK METAL,ADHUNIK METALIKS,0,,0,0.05,1,EQ,NSE,NSE
2115,77724,77724,5533185,21614,ABCAPITAL,ADITYA BIRLA CAP,ADITYA BIRLA CAPITAL,0,,0,0.05,1,EQ,NSE,NSE
2161,61910,61910,7707649,30108,ABFRL,ADITYA BIRLA FASHION,ADITYA BIRLA FASHION & RT,0,,0,0.05,1,EQ,NSE,NSE
11,21,21,3901185,15239,BIRLAMONEY,BIRLA MONEY,ADITYA BIRLA MONEY,0,,0,0.05,1,EQ,NSE,NSE
914,68210,68210,1964033,7672,ADLABS,ADLABS,ADLABS ENTERTAINMENT,0,,0,0.05,1,EQ,NSE,NSE
1922,59737,59737,8705,34,ADORWELD,ADOR WELD,ADOR WELDING,0,,0,0.05,1,EQ,NSE,NSE
3226,59660,59660,4617985,18039,ADVENZYMES,ADV ENZYMES,ADVANCED ENZYME TECH,0,,0,0.05,1,EQ,NSE,NSE
3267,59739,59739,3774721,14745,ADVANI RES,ADVANI HOT,ADVANI HOT.& RES.(I),0,,0,0.05,1,EQ,NSE,NSE
