,Titles
0,['Direct Cash Transfer: Govt transfers Rs 35.45 lakh on launch day']
1,['Essar Engery in talks with lenders for crude inventory management deal']
2,['Indian student arrested in Singapore over bomb threat']
3,['Natural gas futures fall on milder weather']
4,['Raw-material gauge indicates demand pickup on outlook for China']
5,"[""Haryana Minister Shiv Charan Sharma stirs a row, calls Geetika 'servant' of Kanda""]"
6,['Delhi gang-rape case: Jayalalithaa for harsher punishment for rape']
7,['Q&A: Insurance']
8,['Visa offers network for distributing cash subsidies to Aadhar cardholders']
9,['Horse sense']
10,"[""Brand Equity's Most Exciting Brands 2013""]"
11,"[""Brand Equity's Most Exciting Brands: 2013 set to be an exciting year for Pepsi and Coke""]"
390143,['Snehlata Shrivastava appointed Lok Sabha Secretary General']
390144,['Poll effect? Gujarat farmers are getting highest rates for milk']
390145,"[""Delhi Lt. Governor should show 'constitutional statesmanship', says Supreme Court""]"
390146,"['AAI, ASSOMET & AMAFOND of Italy signs MoU for investing in a JV project in Aluminium Park in Odisha']"
390147,['No loan waiver for big defaulters: Arun Jaitley']
390148,['No loan waiver for big defaulters: Arun Jaitley']
390149,['Nirmala Sitharaman wants to involve startups in defence production']
390150,['Sitharaman wants to involve startups in defence production']
390151,['How rising FDI may help rupee to stabilise']
390152,['Did being donkeys work against them?']
390153,"['Bali airport remains shut, airlines waive cancellation fee']"
390154,['Kolkata Police made seventh arrest in ABT case']
390155,['CPEC is source of prosperity for Pakistan: New China envoy']
390156,"['Facebook promises relevant, useful ads for 2 bn users']"
390157,"['Three IIMs in top 50 of QS Masters in Management Rankings 2018, IIM Bangalore leads in 22nd place']"
390158,['FSSAI rolls out guidelines for food recall']
390159,['View: Indian boxers need continuous support from administration']
390160,['Only Davis Cup constant is change']
390161,['Narendra Modi running away from discussion on failed promises: Congress']
390162,"['With the new bankruptcy law, the lender-borrower experience is set to change']"
390163,['Badri Narain Sharma named GST anti-profiteering body Chairman']
390164,['Farm loan waiver bungling: Senior IT bureaucrat VK Gautam shunted']
390165,"[""Maggi samples 'fail' lab test; UP administration slaps fine""]"
390166,['Central bank should communicate to curb market irrationality']
390167,"[""Telcos slam Trai views on net neutrality, term move to set up a monitoring body 'draconian'""]"
390168,"[""Pope demands rights for all in Myanmar, omits 'Rohingya'""]"
390169,['Aung San Suu Kyi stripped of Freedom of Oxford award']
390170,['Indiaâ??s digital story will become beacon for world: Ravi Shankar Prasad']
390171,['Indian-American lawmakers attack FCC Chairman Ajit Pai on net neutrality']
390172,['Law Commission all set to go through family laws of all religions']
390173,"[""Police foil Australia New Year's Eve 'terror plot'""]"
390174,"['US judge says Uber withheld evidence, delays Waymo trial']"
390175,"['Railways to raise Rs 35,000 crore more in FY18']"
390176,['Democrats cancel meeting as Donald Trump rules out budget deal']
390177,['Ivanka boosts Trumpâ??s foreign forays']
390178,['Sebi framing algo trading rules for retail investors']
390179,['Sebi framing algo trading rules for retail investors']
390180,['Actis to invest $200 million in new NBFC platform']
390181,['Actis to invest $200 million in new NBFC platform']
390182,['Ex-Indian Oil Chairman B Ashok appointed CEO of RRPL']
390183,['Supreme Court flays netas over Padmavati remarks']
390184,['Investors queue up at Swiggy; SoftBank may put in $200-250 mn']
390185,"['Investors queue up at Swiggy; SoftBank may put in $200-250 mn, Flipkart & Tencent also in talks']"
390186,"['Publicis ups the ante in experiential marketing; to merge agencies Solutions, Arc Worldwide']"
390187,['CPPIB to buy 15 per cent in ReNew Power']
390188,['CPPIB to buy 15 per cent in ReNew Power']
390189,['Gujarat elections: Fisheries minister Babubhai Bokhiria faces fishermen ire in Porbandar']
390190,"[""DGCA rejects P&W's request to relax rules on engine checks""]"
390191,['Bullish Indians rush in for a big bite of bitcoin']
390192,['Bullish Indians rush in for a big bite of bitcoin']
390193,['Amit Shah dares Rahul Gandhi to make quota formula for Patidars public']
390194,['Early placement at IITs a hit with PSUs']
390195,['View: Gujarat Muslims will quietly join those critical of BJP and let their fingers do the talking']
390196,['IKEAâ??s Gurgaon store may come up in two years']
