CompanyName,Source,Category,Date,Author,Title,Tags,Subtitle,Content
Bank of Barod,econominc-times,"['Markets', 'Stocks', 'Recos']",2014-04-30T11:16:00,['ET Now'],['Buy Bank of Baroda with a target of Rs 852: Prakash Gaba'],"['buy', 'Bank of Baroda', 'prakash gaba']",[],"[""In a chat with ET Now,Prakash Gaba, CFT, prakashgaba.com, shares his view onBank of Baroda.ET Now: What is your call on Bank of Baroda?Prakash Gaba:Bank of Baroda is a 'buy' call with a target of Rs 852 and a stop loss of Rs 820.""]"
Bank of Barod,econominc-times,"['Markets', 'Stocks', 'Recos']",2014-05-05T16:54:00,['ET Now'],['Buy Bank of Baroda with a target of Rs 845: Ashwani Gujral'],"['et now', 'Bank of Baroda', 'Ashwini Gujral', 'Shares', 'Insurability']",[],"[""In a chat withET Now,AshwaniGujral of ashwanigujral.comshareshis views onBank of Baroda.ET Now: What is your call on Bank of Baroda?Ashwani Gujral: Bank of Baroda is a 'buy' call with a target of Rs 845 and a stop loss of Rs 800.""]"
Bank of Barod,econominc-times,"['Markets', 'Stocks', 'Earnings']",2014-05-12T12:53:00,['ET Bureau'],['Bank of Baroda expects to report 3-4% growth'],"['Net profit', 'overseas operations', 'Bank of Baroda', 'Wholesale price index', 'Punjab National Bank', 'Public Sector Banks', 'Insurability']",[],"[""Bank of Barodais expected to report a 3-4% growth in net profits in the quarter ending March 2014. However, its asset quality may continue to be weak this quarter.The bank's business growth for the quarter may be below industry rate. Its deposits are expected to grow 10-12% y-o-y, while its loan book is expected to grow by 12-14% during the same period. Major credit growth on the domestic operations would be primarily from retail, SME and agri divisions as corporate loan segment is expected to remain muted.Bank of Baroda stands out amongst otherpublic sector banksdue to better asset quality. In addition, the bank's overseas operation has supported its overall business growth. As a result, it is one of the few public sector banks which is expected to maintain its profits in the march quarter. On the other hand, its peers such as SBI andPunjab National Bankare expected to show a de-growth this quarter.The Bank's asset quality would be the key point to watch out for in this quarter's results. With fresh slippages, the bank is expected to report a marginal increase in gross non-performing assets in this quarter. As of December 2013, gross non-performing assets constituted 3.19% of the total assets. Any substantial increase this quarter is likely to put pressure on the bank's stock post the results.""]"
Bank of Barod,econominc-times,"['Markets', 'Stocks', 'Earnings']",2014-05-13T15:27:00,['PTI'],"['Bank of Baroda Q4 Net rises 12% to Rs 1,157 crore']","['Shares', 'Bank of Baroda', 'net worth', 'Insurability']",[],"[""NEW DELHI: State-runBank of Barodatoday reported 12.48 per cent rise in net profit at Rs 1,157.27 crore for the quarter ended March 31, 2014.The bank had reported a net profit of Rs 1,028.85 crore in the January-March quarter of 2012-13 fiscal.The total income of the bank rose to Rs 11,614.85 crore during the March quarter of 2013-14 fiscal, from Rs 10,262.5 crore in the previous financial year, BoB said in a filing to the BSE.Provisions and contingencies during the March quarter stood at Rs 1,153 crore, down from Rs 1,598 crore in the corresponding period a year ago.Interest income in the fourth quarter of 2013-14 rose to Rs 10,288 crore, as compared to Rs 9,071 crore in the year-ago period.For the full fiscal, BoB reported 1.35 per cent rise in net profit at Rs 4,541.08 crore, as against Rs 4,480.72 crore in 2012-13 fiscal.The bank's total income increased to Rs 43,402.45 crore during the 2013-14 fiscal, from Rs 38,827.28 crore a year ago.The bank'sshareswere trading at Rs 875.90, up 4.37 per cent over their previous close on the BSE.""]"
Bank of Barod,econominc-times,"['Markets', 'Stocks', 'Recos']",2014-05-14T10:55:00,['ET Now'],['Buy Bank of Baroda with a target of Rs 940: Ashwani Gujral'],"['et now', 'Fund manager', 'Ashwani Gujral', 'ashwanigujral.com', 'Shares', 'Bank of Baroda', 'Insurability']",[],"[""In a chat withET Now,Ashwani Gujral,Fund Manager,Ashwanigujral.com,shareshis views onBank of Baroda.ET Now: What is your call on Bank of Baroda?Ashwani Gujral:Bank of Baroda is a 'BUY' call with a target of Rs 940 and a stop loss of Rs 880.""]"
Bank of Barod,econominc-times,"['Markets', 'Stocks', 'Recos']",2014-05-14T11:21:00,['ET Now'],['Bank of Baroda good bet in banking stocks: Anish Damania'],"['Bank of Baroda', 'Bank of India', 'et now', 'Anish Damania', 'IDFC Securities', 'Shares']",[],"['In a chat withET Now,Anish Damania,Head-Institutional Equities,IDFC Securities,shareshis views on banks.ET Now: What do you like in banks? Would you stick to the private names because the PSUs still continue to bleed by way of asset quality?Anish Damania:Our preference still continues to be for private sector banks. When you choose banks as an index or as a weight, then you ought to add some more public sector names in that. So, in public sector names you look at the top few who have done well better on asset quality than its peer group. That waysBank of Barodafairs well. We were expecting that same thing to happen withBank of India.']"
Bank of Barod,econominc-times,"['Markets', 'Stocks', 'News']",2014-05-20T17:03:00,['PTI'],['Bank of Baroda stock falls on deletion from MSCI indices'],"['Sensex', 'Bank of Baroda', 'MSCI', 'Market', 'deletion', 'Shares', 'benchmark']",[],"[""MUMBAI:SharesofBank of Barodatoday fell by over 3 per cent after Morgan Stanley Capital International (MSCI) said it will remove the stock from its global standard indices from June 2.The bank's scrip tanked 3.17 per cent to settle at Rs 938.45 on the BSE. During the day, the stock fell by 3.48 per cent to Rs 935.40.At the NSE, the scrip was down 3.12 per cent to Rs 938.85.On the volume front, 2.88 lakh shares of the company changed hands at the BSE, while over 18 lakh shares were traded on the NSE during the day.Bank of Baroda will be deleted from the MSCI global standard indexes with effect form June 2, 2014, the US-based provider of globalbenchmarkindices said yesterday.The broadermarketended on a flat note, with the BSE 30-scrip index,Sensex, up by 13.83 points at 24,376.88.""]"
Bank of Barod,econominc-times,"['Markets', 'Stocks', 'Recos']",2014-05-26T09:14:00,['ET Now'],['Buy Bank of Baroda with a target of Rs 1000: Mitesh Thacker'],"['Target', 'Bank of Baroda', 'stop loss', ""'BUY' call""]",[],"[""In a chat with ET Now, Mitesh Thacker of miteshthacker.com shares his views onBank of Baroda.ET Now: What is your call on Bank of Baroda?Mitesh Thacker:Bank of Baroda is a'BUY' callwith atargetof Rs 1000 and astop lossof Rs 934.""]"
Bank of Barod,econominc-times,"['Markets', 'Stocks', 'Recos']",2014-05-28T16:24:00,['ET Now'],['Bank of Baroda and UCO Bank stand out as winners from the banking pack: Prakash Diwan'],"['Shares', 'stocks', 'PNB', 'Insurability', 'settlement option', 'et now', 'PSU Banks']",[],"['In a chat withET Now,Prakash Diwan,Director, Altamount Capital Managementshareshis views on the bankingstocks.ET Now: Is there a PSU bank fundamentally that looks good to you?Prakash Diwan:I would differentiate between the large capPSU banksand the midcap PSU banks because they have a different pattern of behaviour. Out of the large cap pack, it isBOB. It wins hand down. There is absolutely no question on why that so superior toPNBand SBI.On the midcap space, I would still go with theUCO Bank. The price appreciation has still not been commensurately the same as forOBC, Allahabad,Indian Overseas, etc. There is enough head room for growth.UCO Bank, on the lines of OBC, has been able to successfully sell a lot of its distressed assets to ARC or asset reconstruction companies.In this turnaround, a lot of them have started getting exits which is very favourable for a bank. Part of the SARFAESI Act relies a lot on the exits from this asset reconstruction portfolio. This is why both these banks is benefited tremendously.OBC has had a head start of sorts. UCO Bank should stand out as a winner from current levels ahead of the pack irrespective of how the market or the climate behaves for the banking pack as a whole.']"
Bank of Barod,econominc-times,"['Markets', 'Stocks', 'Recos']",2014-06-02T08:56:00,['ET Now'],['Sell Bank of Baroda with stop loss of Rs 875: Sandeep Wagle'],[],[],"['In a chat with ET Now, Sandeep Wagle, Founder & CEO, Power My Wealth, www.powermywealth.com, shares his views on Bank of Baroda.ET Now: What is your call on Bank of Baroda?Sandeep Wagle:Sell Bank of Baroda with a stoploss of Rs 875 for target of Rs 790.']"
