Company,Source,Category,Date,Author,Title,Tags,Subtitle,Content
BHARAT PETROLEUM CORP  LT,econominc-times,"['Markets', 'Stocks', 'Recos']",04-01-2013 11:34,['ET Now'],['Buy BPCL with a stop of Rs 365: Mitesh Thacker'],"['BPCL', 'Technical Analyst', 'Mitesh Thacker', 'miteshthacker.com']",[],"['In chat with ET NOW,Mitesh Thacker,Technical Analyst,miteshthacker.com, gives his stock callWhat is your call onBPCL?I have a buy call on BPCL. The stock has moved up in the last few minutes but if somebody is holding, Rs 385-390 is the price target and can be still bought if it gives an intraday to around levels of Rs 372. Keep a stop below Rs 365.']"
BHARAT PETROLEUM CORP  LT,econominc-times,"['Markets', 'Stocks', 'News']",04-01-2013 12:13,['ET Online'],['OMCs gain on reports of hike in diesel price; BPCL hits 52-week high'],"['Oil minister', 'Rupee', 'ONGC', 'BPCL', 'Oil India', 'HPCL', 'Angel Broking']",[],"['NEW DELHI: State-run oil marketing companies (OMCS) surged over 5 per cent in early trade on Friday on reports that the oil ministry proposes to increase fuel prices, particularly diesel, by less than arupeeper month.""The ministry has also proposed to reduce one-third subsidy on kerosene by 2014-15 and on cooking gas by a quarter this year, government officials said,"" ET reported.BPCLsurged over 2 per cent to hit its 52-week high of Rs 379.70 today. At 12:00 pm, BPCL was trading 2.8 per cent higher at Rs 376.75.HPCLwas trading 4.5 per cent higher at Rs 310.75. It has hit a low of Rs 296.55 and a high of Rs 312.25 in trade today.ONGCwas up 2.2 to Rs 286.05 andOil Indiamoved 3.6 per cent higher to Rs 488.The move is expected to reduce the government\'s subsidy burden substantially on diesel, kerosene and liquefied petroleum gas (LPG), officials said.Oil Marketing Companies are having a dream run backed by the expectations of the proposed norms raised by theOil ministerthat is to hike diesel prices in a phased manner and eventually to deregulate the diesel prices to align with the market rates, experts say.""If the proposed criterion gets implemented will act as a boon for the OMCs(Viz; IOC,BPCL,HPCL) as they are the ones inherently being the victim of under recoveries by selling their products at subsidized rates,"" says Soumyadip Raha, Executive Research-Oil & Gas atMicrosec Capital Ltd.""Moreover this move will bring the more clarity on the OMCs financials as well as improve the overall health of the company,"" added Raha.However, Raha is of the view that possible logjam could be a hindrance in implementations of these reforms.""Rise in international crude oil prices coupled with Rupee depreciation against the USD resulted in higher under-recoveries for oil marketing companies (OMCs) on account of selling diesel, kerosene and domestic LPG at subsidized rates,""Angel Brokingsaid in a report.According to the oil ministry\'s recent data, state oil firms are losing Rs 9 a litre on diesel, Rs 30.60 on kerosene and Rs 490 per cylinder on cooking gas.The estimated fuel subsidy for 2012-13 is about Rs 166,000 crore, out of which the finance ministry has sanctioned Rs 30,000 crore and released the first installment of Rs 10,000 crore to state oil marketing firms this week.During the first half of December 2012, OMCs continued to lose Rs 411cr per day. OMCs lost Rs 9.3/liter, Rs 30.1/liter and Rs 521/cylinder on diesel, kerosene and domestic LPG, respectively.""The oil ministry is seeking more than Rs 100,000 crore from the finance ministry to compensate the three oil firms for selling fuel below market rates in the current fiscal year,"" added the ET report.State-run upstream companies such as ONGC and Oil India are expected to shoulder about Rs 55,000-crore subsidy burden this year. The marketing firms would absorb the balance, officials said.']"
BHARAT PETROLEUM CORP  LT,econominc-times,"['Markets', 'Stocks', 'News']",04-01-2013 16:50,['ET Online'],['Hot stock: Barclays see over 20% upside in BPCL'],"['BPCL', 'Barclays']",[],"['MUMBAI:BarclaysEquity Research has maintained its overweight rating onBPCLwith a target price of Rs 455, an upside of over 20 per cent from its current market price.According to the brokerage, despite the near-term earnings uncertainly, BPCL\'s upstream portfolio spanning 26 assets in seven countries has proved to be a game changer with multiple oil and gas discoveries since 2008.""We expect news flow to remain constructive over 2013-14, and see greater appreciation of value, as the Mozambique project nears final investment decision and clarity emerges on resources and monetisation in Brazil,"" the report said.The company\'s upstream assets will require Rs75-80 billion in capex over the next five years. Though the balance sheet appears stretched, the company investment outlay is manageable, the brokerage says.""The balance sheet is stretched due to high working capital debt, but the investment outlay is manageable with comfortable access to debt and project finance.Annual operating cash flow of Rs40bn, oil bonds and government receivables of Rs 150 billion, and treasury stock of Rs 25 billion at current market prices will also help,"" it added.However, high crude prices will keep retail fuel under-recoveries in India elevated and doesn\'t bode well for the company.According to the report, while policy interventions have helped every year, an election heavy 2013 may prevent sweeping changes and may hurt the company\'s near-term earnings. Besides, a surplus global refining scenario with 5mbpd of additions over 2012-14 adds to problems.""We value BPCL\'s core business at 0.65x P/B given uncertainties about earnings and the upstream portfolio at Rs172/share. Of this the Mozambique asset is Rs120/share - a 35-40 per cent discount to the values implied by the M&A; bids for Cove Energy in 2012. A spike in crude prices is the key near-term risk, but lower LNG contract prices, timeline delays, cost over-runs and any potential adverse host country action in Mozambique are longer-term risks,"" the report added.']"
BHARAT PETROLEUM CORP  LT,econominc-times,"['Markets', 'Stocks', 'News']",07-01-2013 11:50,['ET Online'],['OMCs extend gains on proposal to hike diesel prices; BPCL hits 52-week high'],"['BPCL', 'diesel', 'OMCs', 'oil marketing companies', 'diesel prices', 'Rupee', 'Oil ministry']",[],"['NEW DELHI: State-runoil marketing companies(OMCs) extended their rally on Monday on theoil ministry\'s proposal to increase fuel prices, particularlydiesel, by less than arupeeper month.Diesel, kerosene and cooking gas LPG prices may be hiked soon as the government is considering the Vijay Kelkar Committee recommendations on the cutting fiscal deficit.BPCLsurged over 3 per cent to hit its 52-week high of Rs 387.80 today. At 11:30 am, BPCL was trading 3.07 per cent higher at Rs 385.50.HPCLwas trading 3.8 per cent higher at Rs 325.95. It has hit a low of Rs 315 and a high of Rs 327.45 in trade today.ONGCwas up 1.3 to Rs 288.55 andOil Indiamoved 0.5 per cent higher to Rs 48.3.75Oil marketing companies are having a dream run backed by the expectations thatdiesel priceswill be hiked in a phased manner and will eventually be deregulated to align with the market rates, experts say.""The Kelkar Committee, which was appointed by theFinance Ministryto suggest a roadmap for fiscal consolidation, has suggested an immediate hike in fuel prices and complete deregulation of diesel prices by the start of fiscal 2014-15. It has also suggested raising kerosene and LPG rates,"" PTI reported.""Fair trade regulator Competition Commission said it will seek details from oil marketing companies on their petrol pricing mechanism to probe the alleged cartelisation among them in fixing the fuel price,"" said the report.']"
BHARAT PETROLEUM CORP  LT,econominc-times,"['Opinion', 'Interviews']",07-01-2013 16:43,['ET Now'],"['Phased hike may wipe out under-recoveries in one year: RK Singh, BPCL']","['RK Singh', 'Diesel Price Hike', 'Rupee', 'economy', 'BPCL']",[],"['In an interview withET Now, RK Singh, CMD,BPCL, shares his views on the proposeddiesel price hikeand its impact on the sector. Excerpts:ET Now: The oil ministry on Friday clearly indicated that a fuel price hike is being considered. Have you heard anything from the ministry on that?RK Singh:If a minister has made a statement, I cannot add or delete anything from there, but all I know is that there is some proposal only. This is a proposal stage. I am not party to such a decision. I am only hearing from the newspapers and from you people. Now that you have heard from the minister, that must be true.ET Now: So assuming a price hike does not or rather does come about, what has been talked about in terms ofrupeeper month on diesel, what is going to be the impact of it?RK Singh:If that indeed gets done, I am not sure because I told you this is a proposal I have heard about. And as you said the minister has made such a statement. I take it that it must be true. If that does happen and if the crude prices remain at this level and rupee-dollar exchange rate also does not fluctuate much, it remains at the same rate as it is today, then the increase of Re 1 per month will wipe out the entire under-recovery in a year or so.That will certainly increase the cash position of the oil companies because right now we are compensated by the government and money comes late and in the interim period we have to borrow heavily from the banks at very high interest rates. All these problems will be resolved to a large extent because cash positions of oil companies will improve, thereby the borrowing will come down and we will be able to mobilise working capital through own sources.ET Now: But does it look realistic -- Re 1 per month on diesel -- given the kind of political compulsions we have?RK Singh:To me it does not look unrealistic at all. If any government or anybody increases the price by Rs 10 in one go, that will be a chaotic situation and people will feel the shock, but if you do it in a phased manner, people will get adjusted to it and it will not be a sudden shock to the economy. So it is a good move. I entirely agree with that if it happens and it will be good for theeconomy, good for the country, and good for the oil companies.ET Now: There are also reports that probably the government will reform the formula according to whichunder-recoveriesare being calculated, this also may lead to low under recoveries. What are your thoughts if this proposal is to be considered?RK Singh:I am not aware of any such proposal that the formula calculating the under-recovery is being reviewed or changed, but currently marketing companies are paying a price to the refineries what we call is refinery gate price and on that they are adding their normal marketing margins and the cost, cost of distribution and that is how we determine the sales price. And we are selling below the actual price. That is under-recovery that we talk about. I do not know where the mistake is. If there are some changes taking place in the refinery gate price formula that is a different thing. Actually it is a trade parity that we are paying to the refining companies. If there is any such change, the government or whoever is going to make the change will have to examine the refinery profitability as well because we have to make heavy investment in the refinery sector and we have to invest in the marketing infrastructure. So I do not think money can be mobilised if we tinker with the refinery gate price.']"
BHARAT PETROLEUM CORP  LT,econominc-times,"['Markets', 'Stocks', 'News']",07-01-2013 19:43,['PTI'],"['HPCL, BPCL shares rally on hopes of fuel price hike']","['Sensex', 'finance', 'BSE', 'ONGC', 'BPCL', 'Finance Ministry', 'HPCL']",[],"['MUMBAI: Bucking the overall weak trend, state owned oil companies, includingHPCLandBPCL, today rose by as much as 5 per cent on renewed hopes of fuel price hike soon.Shares of HPCL gained 4.79 per cent to close at Rs 328.95 and BPCL rose by 3.28 per cent to Rs 385.30 on theBSE.IOCL ended 0.37 per cent higher at Rs 282.50. Buying was also seen inONGCwhose shares rose by 1.04 per cent.Brokers said the shares gained on reports that diesel, kerosene and cooking gas prices may be hiked soon while the government may separately take up a proposal to raise the cap on supply of subsidised LPG cylinders.TheKelkar Committee, which was appointed byFinance Ministryto suggest a roadmap for fiscal consolidation, had recommended an immediate hike in price of diesel by Rs 4 per litre, of kerosene by Rs 2 a litre and of LPG by Rs 50 per cylinder.Meanwhile, in the stock market the BSE benchmarkSensexended 92.66 points lower at 19,691.42.']"
BHARAT PETROLEUM CORP  LT,econominc-times,"['Markets', 'Stocks', 'Recos']",10-01-2013 10:42,['ET Now'],['Buy BPCL with target price of Rs 405: Mitesh Thacker'],"['BPCL', 'Mitesh Thacker', 'Bharat Petroleum Corporation Ltd.']",[],"[""In a chat with ET Now,Mitesh Thacker, Technical Analyst, miteshthacker.com, shares his views onBPCL.ET Now: What is your call on BPCL?Mitesh Thacker:I have a 'buy' call on BPCL with a stop loss of Rs 384.5 and a target price of Rs 405. It is slightly premature in the sense that it is early. We have not had a weekly closing and that is what I was looking for the stock to get past levels of 390-391 but the signals are there. So I would like to take a slightly aggressive bet.""]"
BHARAT PETROLEUM CORP  LT,econominc-times,"['Markets', 'Stocks', 'Recos']",17-01-2013 15:37,['ET Now'],"['Bullish on BPCL, look at a target of around Rs 420: Mitesh Thacker']","['BPCL', 'Bharat Petroleum Corporation', 'et now', 'Technical Analyst', 'Mitesh Thacker', 'miteshthacker.com']",[],"['In a chat withET Now,Mitesh Thacker,Technical Analyst,miteshthacker.com, shares his views onBharat Petroleum CorporationLimited.ET Now: What is your call on Bharat Petroleum Corporation?Mitesh Thacker:InBPCL, I am waiting for it to close above Rs 395. Once that happens, I am looking for a target of around Rs 420, possibly even at Rs 445.']"
BHARAT PETROLEUM CORP  LT,econominc-times,"['Markets', 'Stocks', 'Recos']",18-01-2013 12:19,['ET Now'],['Buy Bharat Petroleum Corporation with a target of Rs 440: Ashwani Gujral'],"['BPCL', 'Fund manager', 'et now', 'Bharat Petroleum Corporation Ltd', 'Ashwani Gujral', 'ashwanigujral.com']",[],"['In a chat withET Now,Ashwani Gujral,Fund Manager,Ashwanigujral.com, shares his views onBharat Petroleum Corporation Ltd.ET Now: What is your call on Bharat Petroleum Corporation Ltd?Ashwani Gujral:BPCLis a buy with a stop loss of about Rs 415 and look for a price target of Rs 440.']"
BHARAT PETROLEUM CORP  LT,econominc-times,"['Markets', 'Stocks', 'News']",18-01-2013 15:26,['ET Online'],['JPMorgan cautious on R&M space; prefers BPCL'],"['BPCL', 'JPMorgan', 'HPCL', 'IOCL', 'R&M space', 'refining and marketing space', 'stocks']",[],"['NEW DELHI: Global brokerage firmJPMorganis cautious on therefining and marketing space(R&M;) as implementation of hike in diesel prices remains vague - leading to potential for delays.JPMorgan remains cautious on the R&M; space, and prefersBPCLfor its upstream leverage. However, they think that initial periodic hikes are likely to be a positive sentiment for most OMSc. JPMorgan recommends booking profits inHPCLandIOCL.The oil minister announced that the OMCs are free to hike diesel prices periodically, in \'small\' increments.The moveis a clear positive for OMCs, but political headwinds remain.""A move toward market pricing is positive. However, in our view risks to implementation remain, particularly as the periodicity and the quantum of hikes remain unclear,"" JPMorgan said in a report.""While we could see an initial few hikes, opposition to this measure is likely to be high, and as with petrol, we could see this process play out in fits and starts,"" added the report.JPMorgan is ofthe viewthat a road map to move to market pricing of diesel would act as a sentiment positive, and delivery on the same could see thestocksrerate.BPCL has delivered a more stable refining performance over the past few quarters, aiding earnings. However, the brokerage firm remains cautious on HPCL, and advises investors to book profits on the back of near-term rallies.']"
