id,number_of_retweets,number_of_favorites,created_at,text
999946030983491585,0,1,2018-05-25 09:31:26,b'Atul Suri talks about trading the Indian stock market in times of volatility at the @Traderscarnival.\nRead:\xe2\x80\xa6 https://t.co/HWOnV1g5Dq'
999945670739021824,1,3,2018-05-25 09:30:00,b'Meet the trader who made Rs 60 lakh in a year through Nifty options. \n@Traderscarnival \nhttps://t.co/Pmr8A30c4Z https://t.co/A8WJo8nOqc'
999943153087074304,0,1,2018-05-25 09:20:00,"b'The need to counter dollar strength, not inflation, will make RBI consider a rate hike in June, according to\xe2\x80\xa6 https://t.co/dxEaonmQdJ'"
999942930453295104,0,0,2018-05-25 09:19:07,"b""GAIL rises on CLSA upgrade to 'Buy' after weak March quarter.\n\nhttps://t.co/hWPdRDCbKa https://t.co/YC1iQgL8Gy"""
999941894418219010,1,1,2018-05-25 09:15:00,b'India\xe2\x80\x99s economic and credit slowdown is revealing the strengths and weaknesses of its banking sector.\nhttps://t.co/lS0kzTulAq'
999941445136990208,2,1,2018-05-25 09:13:13,"b""#BQMoney | Indian rupee recovers nearly 55 paise from day's low.\nhttps://t.co/nUrydY6f8z https://t.co/b6Qc8ce5XG"""
999940636110278657,0,1,2018-05-25 09:10:00,"b""Hot Money | What's plaguing auto ancillary stocks?\n@darshanvmehta1 \n\nWatch the full show here:\xe2\x80\xa6 https://t.co/cpBww6HDTO"""
999938123294441473,0,3,2018-05-25 09:00:01,b'#4YearsOfModi | Equities and bonds have gained during PM Modi\xe2\x80\x99s tenure while the rupee has depreciated.\nhttps://t.co/jBf2OgYpax'
999935498981261313,0,1,2018-05-25 08:49:35,"b'Rescinding of work permit for H-1B visa spouses in final stages, says U.S. \nhttps://t.co/FegzTvBW2Q https://t.co/AVYetyelfx'"
999934827649351680,0,2,2018-05-25 08:46:55,b'Why is the government worried about rising crude prices? @YatinMota explains.\nhttps://t.co/Ew1QTKpxkA https://t.co/Prbgypp7Vn'
999934466150752257,1,1,2018-05-25 08:45:29,b'Hot Money | Find out why analysts sound caution on Kaveri Seeds.\n@darshanvmehta1 \n\nWatch the full show here:\xe2\x80\xa6 https://t.co/SX1t75G1o7'
999934344801042432,1,0,2018-05-25 08:45:00,b'The General Data Protection Regulation explained in 75 seconds\nhttps://t.co/drk0Nc0oiP https://t.co/PrRcqmzJ64'
999933618960072706,0,3,2018-05-25 08:42:07,"b'NMDC\xe2\x80\x99s hiked prices of iron ore to correct pricing disparity with imports, says Director TK Rao.\nReports\xe2\x80\xa6 https://t.co/Azgc04FPwi'"
999931471006654464,0,1,2018-05-25 08:33:35,"b""Countdown #BQLive\n- Maruti Suzuki's RC Bhargava on plans to set up a joint project with Toyota for common products\xe2\x80\xa6 https://t.co/EAG5VsVBwE"""
999930569751519232,0,1,2018-05-25 08:30:00,b'#4YearsOfModi | How do you think the Government has fared? Tweet the one hit and miss in your view and we will feat\xe2\x80\xa6 https://t.co/WPTR3JoWyH'
999930470996459520,1,1,2018-05-25 08:29:36,b'#KarnatakaFloorTest | Chief Minister HD Kumaraswamy begins debate on the motion of confidence on the floor of the K\xe2\x80\xa6 https://t.co/SFcywJB6FZ'
999929550812336128,0,2,2018-05-25 08:25:57,"b'Experts Nooresh Merani, Deepak Mohoni &amp; Vignesh Eswar on how to be the trader you want to be at @Traderscarnival.\xe2\x80\xa6 https://t.co/A2rG6Mm6kj'"
999928053949190144,0,1,2018-05-25 08:20:00,b'There is no relief for consumers as state-run oil marketers increased prices of petrol and diesel for 12 days in a\xe2\x80\xa6 https://t.co/x9IvAIlqN8'
999927133152595969,1,2,2018-05-25 08:16:20,b'Should the RBI hike rates to support the rupee? @dugalira reports.\nhttps://t.co/RUGoRJnFVo https://t.co/rb0SmP06m0'
999926795146326016,1,1,2018-05-25 08:15:00,b'Amazon\xe2\x80\x99s Alexa eavesdropped and shared a couple\xe2\x80\x99s private conversation. The company is now explaining why.\xc2\xa0\xe2\x80\xa6 https://t.co/M3iKGA9Y9c'
999924393709981696,0,1,2018-05-25 08:05:27,"b'#Q4WithBQ | Higher input prices, strong dollar could prompt price hike, says Pidilite. https://t.co/7TnFLv8ihG'"
999924123382894592,0,2,2018-05-25 08:04:23,"b'Traders Carnival | Nifty may face downside risks below 10,500, says JC Parets.\nhttps://t.co/mq3tVg2Dby https://t.co/HaRohTJa5q'"
999923025095966720,1,1,2018-05-25 08:00:01,"b'A windfall tax on ONGC could be damaging for India, say experts.\nhttps://t.co/ViC7MC8opE https://t.co/wseHP9Dmsu'"
999920503853854720,1,3,2018-05-25 07:50:00,b'Indian private-sector banks are among the most richly valued in the world.\nhttps://t.co/lS0kzTLWZ0 https://t.co/3TzFTUUhUJ'
999919993910247427,0,1,2018-05-25 07:47:58,"b'Toyota, Suzuki agree to discuss projects in the fields of technological development, vehicle production and market\xe2\x80\xa6 https://t.co/qq24VjBy8k'"
999919245537546240,0,3,2018-05-25 07:45:00,b'North Korea says it still wants to meet after summit collapses.\nhttps://t.co/2TKlknAqiL https://t.co/DSkh0o9voc'
999917987204423680,0,1,2018-05-25 07:40:00,b'The next best thing to attending @Traderscarnival is tuning into BloombergQuint to watch our coverage of the best t\xe2\x80\xa6 https://t.co/uge6sDQsfc'
999917315264147457,0,0,2018-05-25 07:37:20,"b""#Q4WithBQ | Decoding V-Mart's earnings with CMD Lalit Agarwal.\nWatch: https://t.co/sCiZzeXiuG https://t.co/XmQREPmacH"""
999915636179353600,1,1,2018-05-25 07:30:39,"b'Power Lunch #BQLive\n- #KarnatakaFloorTest is underway.\n- How Bank of Baroda, Tech Mahindra &amp; Sun Pharma are expecte\xe2\x80\xa6 https://t.co/pqMUC3CdTU'"
999915471263617026,0,2,2018-05-25 07:30:00,b'The economy under PM Modi: India has failed to make any significant progress on pushing exports as a lever of growt\xe2\x80\xa6 https://t.co/yRuhfcfnbz'
999912954362548224,1,0,2018-05-25 07:20:00,b'Expert financial planners will help you meet your financial goals on Portfolio.\nSend us your income and contact inf\xe2\x80\xa6 https://t.co/sWOyail5l2'
999912954194726912,3,7,2018-05-25 07:20:00,"b'At @Traderscarnival, Rasmeet Sethi talks about why he bets on stocks that have gained 5% or more.\xe2\x80\xa6 https://t.co/RgEkG9F6vt'"
